pt,Ridge,Jet
6.26217,0.000162262,4.76915e-231
6.29833,0.000156954,4.20218e-231
6.3345,0.000151825,3.70211e-231
6.37067,0.00014687,3.26111e-231
6.40683,0.00014208,2.87226e-231
6.443,0.000137452,2.52944e-231
6.47917,0.000132979,2.22723e-231
6.51533,0.000128656,1.96087e-231
6.5515,0.000124477,1.72613e-231
6.58767,0.000120439,1.51929e-231
6.62383,0.000116535,1.33705e-231
6.66,0.000112761,1.17652e-231
6.69617,0.000109113,1.03512e-231
6.73233,0.000105586,9.10593e-232
6.7685,0.000102177,8.0094e-232
6.80467,9.88802e-05,7.04396e-232
6.84083,9.56931e-05,6.19406e-232
6.877,9.26115e-05,5.44598e-232
6.91317,8.96318e-05,4.78761e-232
6.94933,8.67505e-05,4.20826e-232
6.9855,8.39643e-05,3.69852e-232
7.02167,8.127e-05,3.25009e-232
7.05783,7.86644e-05,2.85565e-232
7.094,7.61444e-05,2.50874e-232
7.13017,7.37073e-05,2.20368e-232
7.16633,7.13502e-05,1.93546e-232
7.2025,6.90703e-05,1.69965e-232
7.23867,6.68651e-05,1.49237e-232
7.27483,6.47321e-05,1.3102e-232
7.311,6.26687e-05,1.15011e-232
7.34717,6.06728e-05,1.00944e-232
7.38333,5.87419e-05,8.85863e-233
7.4195,5.6874e-05,7.77308e-233
7.45567,5.50669e-05,6.81965e-233
7.49183,5.33186e-05,5.98235e-233
7.528,5.1627e-05,5.24716e-233
7.56417,4.99904e-05,4.60169e-233
7.60033,4.84069e-05,4.03509e-233
7.6365,4.68746e-05,3.53778e-233
7.67267,4.5392e-05,3.10134e-233
7.70883,4.39573e-05,2.71838e-233
7.745,4.2569e-05,2.38239e-233
7.78117,4.12255e-05,2.08765e-233
7.81733,3.99253e-05,1.82912e-233
7.8535,3.8667e-05,1.6024e-233
7.88967,3.74493e-05,1.40359e-233
7.92583,3.62707e-05,1.22928e-233
7.962,3.513e-05,1.07648e-233
7.99817,3.40259e-05,9.4254e-234
8.03433,3.29573e-05,8.25157e-234
8.0705,3.19229e-05,7.22296e-234
8.10667,3.09216e-05,6.32172e-234
8.14283,2.99524e-05,5.53219e-234
8.179,2.90142e-05,4.84062e-234
8.21517,2.8106e-05,4.23493e-234
8.25133,2.72267e-05,3.70454e-234
8.2875,2.63756e-05,3.24013e-234
