ptf, etaf, rapidity
-1.372000, 2.229000, -1.370280
-1.372000, 2.267500, -1.370338
-1.372000, 2.306000, -1.370393
-1.372000, 2.344500, -1.370445
-1.372000, 2.383000, -1.370495
-1.372000, 2.421500, -1.370542
-1.372000, 2.460000, -1.370588
-1.372000, 2.498500, -1.370631
-1.372000, 2.537000, -1.370672
-1.372000, 2.575500, -1.370711
-1.372000, 2.614000, -1.370749
-1.372000, 2.652500, -1.370785
-1.372000, 2.691000, -1.370819
-1.372000, 2.729500, -1.370852
-1.372000, 2.768000, -1.370884
-1.372000, 2.806500, -1.370914
-1.372000, 2.845000, -1.370943
-1.372000, 2.883500, -1.370971
-1.372000, 2.922000, -1.370998
-1.372000, 2.960500, -1.371024
-1.372000, 2.999000, -1.371049
-1.372000, 3.037500, -1.371073
-1.372000, 3.076000, -1.371096
-1.372000, 3.114500, -1.371118
-1.372000, 3.153000, -1.371140
-1.372000, 3.191500, -1.371160
-1.372000, 3.230000, -1.371180
-1.372000, 3.268500, -1.371199
-1.372000, 3.307000, -1.371218
-1.372000, 3.345500, -1.371236
-1.372000, 3.384000, -1.371253
-1.372000, 3.422500, -1.371270
-1.372000, 3.461000, -1.371286
-1.372000, 3.499500, -1.371301
-1.372000, 3.538000, -1.371317
-1.372000, 3.576500, -1.371331
-1.372000, 3.615000, -1.371345
-1.372000, 3.653500, -1.371359
-1.372000, 3.692000, -1.371372
-1.372000, 3.730500, -1.371385
-1.372000, 3.769000, -1.371398
-1.372000, 3.807500, -1.371410
-1.372000, 3.846000, -1.371422
-1.372000, 3.884500, -1.371433
-1.372000, 3.923000, -1.371444
-1.372000, 3.961500, -1.371455
-1.344000, 0.150000, -1.083380
-1.344000, 0.188500, -1.158726
-1.344000, 0.227000, -1.206953
-1.344000, 0.265500, -1.239169
-1.344000, 0.304000, -1.261538
-1.344000, 0.342500, -1.277603
-1.344000, 0.381000, -1.289482
-1.344000, 0.419500, -1.298487
-1.344000, 0.458000, -1.305463
-1.344000, 0.496500, -1.310969
-1.344000, 0.535000, -1.315387
-1.344000, 0.573500, -1.318982
-1.344000, 0.612000, -1.321946
-1.344000, 0.650500, -1.324416
-1.344000, 0.689000, -1.326496
-1.344000, 0.727500, -1.328264
-1.344000, 0.766000, -1.329778
-1.344000, 0.804500, -1.331085
-1.344000, 0.843000, -1.332220
-1.344000, 0.881500, -1.333213
-1.344000, 0.920000, -1.334086
-1.344000, 0.958500, -1.334857
-1.344000, 0.997000, -1.335542
-1.344000, 1.035500, -1.336153
-1.344000, 1.074000, -1.336700
-1.344000, 1.112500, -1.337193
-1.344000, 1.151000, -1.337637
-1.344000, 1.189500, -1.338039
-1.344000, 1.228000, -1.338404
-1.344000, 1.266500, -1.338737
-1.344000, 1.305000, -1.339041
-1.344000, 1.343500, -1.339319
-1.344000, 1.382000, -1.339575
-1.344000, 1.420500, -1.339810
-1.344000, 1.459000, -1.340028
-1.344000, 1.497500, -1.340228
-1.344000, 1.536000, -1.340414
-1.344000, 1.574500, -1.340587
-1.344000, 1.613000, -1.340747
-1.344000, 1.651500, -1.340896
-1.344000, 1.690000, -1.341035
-1.344000, 1.728500, -1.341166
-1.344000, 1.767000, -1.341287
-1.344000, 1.805500, -1.341401
-1.344000, 1.844000, -1.341508
-1.344000, 1.882500, -1.341609
-1.344000, 1.921000, -1.341704
-1.344000, 1.959500, -1.341793
-1.344000, 1.998000, -1.341877
-1.344000, 2.036500, -1.341956
-1.344000, 2.075000, -1.342031
-1.344000, 2.113500, -1.342102
-1.344000, 2.152000, -1.342169
-1.344000, 2.190500, -1.342233
-1.344000, 2.229000, -1.342293
-1.344000, 2.267500, -1.342350
-1.344000, 2.306000, -1.342405
-1.344000, 2.344500, -1.342457
-1.344000, 2.383000, -1.342506
-1.344000, 2.421500, -1.342553
-1.344000, 2.460000, -1.342598
-1.344000, 2.498500, -1.342641
-1.344000, 2.537000, -1.342682
-1.344000, 2.575500, -1.342721
-1.344000, 2.614000, -1.342758
-1.344000, 2.652500, -1.342794
-1.344000, 2.691000, -1.342828
-1.344000, 2.729500, -1.342861
-1.344000, 2.768000, -1.342892
-1.344000, 2.806500, -1.342922
-1.344000, 2.845000, -1.342951
-1.344000, 2.883500, -1.342979
-1.344000, 2.922000, -1.343006
-1.344000, 2.960500, -1.343031
