pt, N_Rdige_dis
3.040000, 0.011106
3.050000, 0.010837
3.060000, 0.010575
3.070000, 0.010320
3.080000, 0.010070
3.090000, 0.009827
3.100000, 0.009590
3.110000, 0.009359
3.120000, 0.009133
3.130000, 0.008913
3.140000, 0.008699
3.150000, 0.008489
3.160000, 0.008285
3.170000, 0.008086
3.180000, 0.007891
3.190000, 0.007702
3.200000, 0.007517
3.210000, 0.007336
3.220000, 0.007160
3.230000, 0.006989
3.240000, 0.006821
3.250000, 0.006658
3.260000, 0.006498
3.270000, 0.006343
3.280000, 0.006191
3.290000, 0.006043
3.300000, 0.005898
3.310000, 0.005757
3.320000, 0.005620
3.330000, 0.005485
3.340000, 0.005355
3.350000, 0.005227
3.360000, 0.005102
3.370000, 0.004980
3.380000, 0.004862
3.390000, 0.004746
3.400000, 0.004633
3.410000, 0.004523
3.420000, 0.004415
3.430000, 0.004310
3.440000, 0.004208
3.450000, 0.004108
3.460000, 0.004010
3.470000, 0.003915
3.480000, 0.003822
3.490000, 0.003731
3.500000, 0.003643
3.510000, 0.003556
3.520000, 0.003472
3.530000, 0.003390
3.540000, 0.003310
3.550000, 0.003231
3.560000, 0.003155
3.570000, 0.003080
3.580000, 0.003007
3.590000, 0.002936
3.600000, 0.002867
3.610000, 0.002799
3.620000, 0.002733
3.630000, 0.002669
3.640000, 0.002606
3.650000, 0.002544
3.660000, 0.002484
3.670000, 0.002426
3.680000, 0.002369
3.690000, 0.002313
3.700000, 0.002258
3.710000, 0.002205
3.720000, 0.002153
3.730000, 0.002103
3.740000, 0.002053
3.750000, 0.002005
3.760000, 0.001958
3.770000, 0.001912
3.780000, 0.001867
3.790000, 0.001823
3.800000, 0.001781
3.810000, 0.001739
3.820000, 0.001698
3.830000, 0.001658
3.840000, 0.001619
3.850000, 0.001582
3.860000, 0.001545
3.870000, 0.001508
3.880000, 0.001473
3.890000, 0.001439
3.900000, 0.001405
3.910000, 0.001372
3.920000, 0.001340
3.930000, 0.001309
3.940000, 0.001278
3.950000, 0.001248
3.960000, 0.001219
3.970000, 0.001191
3.980000, 0.001163
3.990000, 0.001136
4.000000, 0.001110
