ptf, pti, rapidity
2.020000, 7.163371, -7.236225
2.030000, 7.215400, -7.275366
2.040000, 7.267482, -7.314508
2.050000, 7.319616, -7.353651
2.060000, 7.371803, -7.392794
2.070000, 7.424041, -7.431938
2.080000, 7.476328, -7.471082
2.090000, 7.528664, -7.510227
2.100000, 7.581048, -7.549373
2.110000, 7.633479, -7.588519
2.120000, 7.685956, -7.627665
2.130000, 7.738478, -7.666812
2.140000, 7.791045, -7.705959
2.150000, 7.843656, -7.745107
2.160000, 7.896309, -7.784255
2.170000, 7.949004, -7.823404
2.180000, 8.001740, -7.862554
2.190000, 8.054517, -7.901703
2.200000, 8.107334, -7.940854
2.210000, 8.160189, -7.980004
2.220000, 8.213083, -8.019155
2.230000, 8.266014, -8.058307
2.240000, 8.318983, -8.097459
2.250000, 8.371988, -8.136611
2.260000, 8.425028, -8.175764
2.270000, 8.478104, -8.214917
2.280000, 8.531214, -8.254071
2.290000, 8.584358, -8.293225
2.300000, 8.637535, -8.332380
2.310000, 8.690745, -8.371534
2.320000, 8.743987, -8.410690
2.330000, 8.797261, -8.449845
2.340000, 8.850566, -8.489001
2.350000, 8.903901, -8.528158
2.360000, 8.957267, -8.567314
2.370000, 9.010662, -8.606471
2.380000, 9.064086, -8.645629
2.390000, 9.117538, -8.684787
2.400000, 9.171019, -8.723945
2.410000, 9.224528, -8.763103
2.420000, 9.278064, -8.802262
2.430000, 9.331627, -8.841421
2.440000, 9.385216, -8.880581
2.450000, 9.438831, -8.919741
2.460000, 9.492471, -8.958901
2.470000, 9.546137, -8.998061
2.480000, 9.599827, -9.037222
2.490000, 9.653542, -9.076383
2.500000, 9.707281, -9.115545
2.510000, 9.761044, -9.154707
2.520000, 9.814830, -9.193869
2.530000, 9.868638, -9.233031
2.540000, 9.922470, -9.272194
2.550000, 9.976323, -9.311357
2.560000, 10.030198, -9.350520
2.570000, 10.084095, -9.389683
2.580000, 10.138014, -9.428847
2.590000, 10.191953, -9.468011
2.600000, 10.245913, -9.507175
2.610000, 10.299893, -9.546340
2.620000, 10.353893, -9.585505
2.630000, 10.407913, -9.624670
2.640000, 10.461952, -9.663835
2.650000, 10.516010, -9.703001
2.660000, 10.570088, -9.742167
2.670000, 10.624184, -9.781333
2.680000, 10.678298, -9.820500
2.690000, 10.732430, -9.859666
2.700000, 10.786580, -9.898833
2.710000, 10.840748, -9.938000
2.720000, 10.894933, -9.977168
2.730000, 10.949136, -10.016336
2.740000, 11.003355, -10.055503
2.750000, 11.057591, -10.094672
2.760000, 11.111843, -10.133840
2.770000, 11.166111, -10.173008
2.780000, 11.220395, -10.212177
2.790000, 11.274695, -10.251346
2.800000, 11.329011, -10.290516
2.810000, 11.383342, -10.329685
2.820000, 11.437688, -10.368855
2.830000, 11.492049, -10.408025
2.840000, 11.546424, -10.447195
2.850000, 11.600814, -10.486365
2.860000, 11.655219, -10.525536
2.870000, 11.709638, -10.564706
2.880000, 11.764070, -10.603877
2.890000, 11.818516, -10.643048
2.900000, 11.872976, -10.682220
2.910000, 11.927450, -10.721391
2.920000, 11.981936, -10.760563
2.930000, 12.036436, -10.799735
2.940000, 12.090949, -10.838907
2.950000, 12.145474, -10.878079
2.960000, 12.200012, -10.917252
2.970000, 12.254562, -10.956424
2.980000, 12.309125, -10.995597
2.990000, 12.363700, -11.034770
3.000000, 12.418287, -11.073943
3.010000, 12.472885, -11.113117
3.020000, 12.527495, -11.152290
3.030000, 12.582117, -11.191464
3.040000, 12.636750, -11.230638
3.050000, 12.691395, -11.269812
3.060000, 12.746050, -11.308986
3.070000, 12.800717, -11.348161
3.080000, 12.855394, -11.387335
3.090000, 12.910082, -11.426510
3.100000, 12.964781, -11.465685
3.110000, 13.019490, -11.504860
3.120000, 13.074210, -11.544035
3.130000, 13.128939, -11.583211
3.140000, 13.183679, -11.622386
3.150000, 13.238429, -11.661562
3.160000, 13.293189, -11.700738
3.170000, 13.347958, -11.739914
3.180000, 13.402737, -11.779090
3.190000, 13.457526, -11.818266
3.200000, 13.512324, -11.857443
3.210000, 13.567131, -11.896619
3.220000, 13.621947, -11.935796
3.230000, 13.676773, -11.974973
3.240000, 13.731607, -12.014150
3.250000, 13.786451, -12.053327
3.260000, 13.841303, -12.092504
3.270000, 13.896164, -12.131682
3.280000, 13.951034, -12.170859
3.290000, 14.005912, -12.210037
3.300000, 14.060798, -12.249215
3.310000, 14.115693, -12.288393
3.320000, 14.170596, -12.327571
3.330000, 14.225507, -12.366749
3.340000, 14.280426, -12.405928
3.350000, 14.335353, -12.445106
3.360000, 14.390288, -12.484285
3.370000, 14.445230, -12.523463
3.380000, 14.500181, -12.562642
3.390000, 14.555139, -12.601821
3.400000, 14.610104, -12.641000
3.410000, 14.665077, -12.680180
3.420000, 14.720058, -12.719359
3.430000, 14.775045, -12.758539
3.440000, 14.830040, -12.797718
3.450000, 14.885042, -12.836898
3.460000, 14.940051, -12.876078
3.470000, 14.995067, -12.915258
3.480000, 15.050090, -12.954438
3.490000, 15.105120, -12.993618
3.500000, 15.160157, -13.032798
3.510000, 15.215200, -13.071979
3.520000, 15.270250, -13.111159
3.530000, 15.325306, -13.150340
3.540000, 15.380369, -13.189521
3.550000, 15.435439, -13.228702
3.560000, 15.490515, -13.267882
3.570000, 15.545597, -13.307064
3.580000, 15.600685, -13.346245
3.590000, 15.655779, -13.385426
3.600000, 15.710880, -13.424607
3.610000, 15.765987, -13.463789
3.620000, 15.821099, -13.502970
3.630000, 15.876218, -13.542152
3.640000, 15.931342, -13.581334
3.650000, 15.986473, -13.620516
3.660000, 16.041609, -13.659698
3.670000, 16.096751, -13.698880
3.680000, 16.151898, -13.738062
3.690000, 16.207051, -13.777244
3.700000, 16.262209, -13.816427
3.710000, 16.317373, -13.855609
3.720000, 16.372543, -13.894792
3.730000, 16.427718, -13.933974
3.740000, 16.482898, -13.973157
3.750000, 16.538083, -14.012340
3.760000, 16.593274, -14.051523
3.770000, 16.648470, -14.090706
3.780000, 16.703671, -14.129889
3.790000, 16.758877, -14.169072
3.800000, 16.814088, -14.208256
3.810000, 16.869304, -14.247439
3.820000, 16.924525, -14.286622
3.830000, 16.979751, -14.325806
3.840000, 17.034981, -14.364990
3.850000, 17.090217, -14.404173
3.860000, 17.145457, -14.443357
3.870000, 17.200702, -14.482541
3.880000, 17.255952, -14.521725
3.890000, 17.311206, -14.560909
3.900000, 17.366465, -14.600093
3.910000, 17.421728, -14.639277
3.920000, 17.476996, -14.678462
3.930000, 17.532268, -14.717646
3.940000, 17.587545, -14.756831
3.950000, 17.642826, -14.796015
3.960000, 17.698112, -14.835200
3.970000, 17.753402, -14.874384
3.980000, 17.808696, -14.913569
3.990000, 17.863994, -14.952754
4.000000, 17.919296, -14.991939
