ptf, pti
3.050000, 9.379399
3.060000, 9.426405
3.070000, 9.473501
3.080000, 9.520684
3.090000, 9.567954
3.100000, 9.615308
3.110000, 9.662747
3.120000, 9.710268
3.130000, 9.757871
3.140000, 9.805554
3.150000, 9.853316
3.160000, 9.901157
3.170000, 9.949074
3.180000, 9.997068
3.190000, 10.045137
3.200000, 10.093280
3.210000, 10.141496
3.220000, 10.189784
3.230000, 10.238143
3.240000, 10.286572
3.250000, 10.335070
3.260000, 10.383636
3.270000, 10.432270
3.280000, 10.480971
3.290000, 10.529737
3.300000, 10.578568
3.310000, 10.627462
3.320000, 10.676420
3.330000, 10.725440
3.340000, 10.774522
3.350000, 10.823664
3.360000, 10.872866
3.370000, 10.922128
3.380000, 10.971448
3.390000, 11.020825
3.400000, 11.070260
3.410000, 11.119751
3.420000, 11.169297
3.430000, 11.218898
3.440000, 11.268554
3.450000, 11.318263
3.460000, 11.368025
3.470000, 11.417839
3.480000, 11.467705
3.490000, 11.517621
3.500000, 11.567588
3.510000, 11.617605
3.520000, 11.667671
3.530000, 11.717786
3.540000, 11.767949
3.550000, 11.818159
3.560000, 11.868416
3.570000, 11.918719
3.580000, 11.969068
3.590000, 12.019462
3.600000, 12.069901
3.610000, 12.120385
3.620000, 12.170912
3.630000, 12.221482
3.640000, 12.272095
3.650000, 12.322750
3.660000, 12.373446
3.670000, 12.424185
3.680000, 12.474963
3.690000, 12.525783
3.700000, 12.576642
3.710000, 12.627540
3.720000, 12.678478
3.730000, 12.729454
3.740000, 12.780468
3.750000, 12.831520
3.760000, 12.882609
3.770000, 12.933736
3.780000, 12.984898
3.790000, 13.036097
3.800000, 13.087332
3.810000, 13.138601
3.820000, 13.189906
3.830000, 13.241245
3.840000, 13.292619
3.850000, 13.344026
3.860000, 13.395467
3.870000, 13.446941
3.880000, 13.498448
3.890000, 13.549987
3.900000, 13.601558
3.910000, 13.653161
3.920000, 13.704795
3.930000, 13.756460
3.940000, 13.808157
3.950000, 13.859883
3.960000, 13.911640
3.970000, 13.963427
3.980000, 14.015243
3.990000, 14.067088
4.000000, 14.118962
