pt, Ef, Ei_phi=0, Ei_phi=0.5, Ei_phi=1, Ei_phi=pi, Ei_phi=pi/2, Ei_phi=pi/4
1.370000, 5.233559, 1.465184, 2.648265, 4.518891, 9.035910, 6.472828, 3.713468
1.380000, 5.271536, 1.501866, 2.675376, 4.545609, 9.073961, 6.503573, 3.739469
1.390000, 5.309514, 1.538615, 2.702752, 4.572488, 9.112012, 6.534394, 3.765677
1.400000, 5.347495, 1.575427, 2.730384, 4.599526, 9.150064, 6.565293, 3.792085
1.410000, 5.385476, 1.612298, 2.758266, 4.626719, 9.188116, 6.596266, 3.818691
1.420000, 5.423460, 1.649223, 2.786389, 4.654065, 9.226168, 6.627313, 3.845491
1.430000, 5.461444, 1.686200, 2.814747, 4.681561, 9.264221, 6.658434, 3.872479
1.440000, 5.499430, 1.723225, 2.843332, 4.709204, 9.302273, 6.689626, 3.899653
1.450000, 5.537418, 1.760295, 2.872137, 4.736993, 9.340327, 6.720890, 3.927008
1.460000, 5.575407, 1.797408, 2.901157, 4.764924, 9.378380, 6.752224, 3.954541
1.470000, 5.613397, 1.834560, 2.930385, 4.792995, 9.416434, 6.783627, 3.982247
1.480000, 5.651389, 1.871749, 2.959813, 4.821203, 9.454488, 6.815098, 4.010124
1.490000, 5.689382, 1.908974, 2.989438, 4.849547, 9.492542, 6.846636, 4.038168
1.500000, 5.727376, 1.946232, 3.019252, 4.878023, 9.530597, 6.878241, 4.066375
1.510000, 5.765371, 1.983521, 3.049251, 4.906629, 9.568651, 6.909911, 4.094742
1.520000, 5.803368, 2.020840, 3.079428, 4.935364, 9.606707, 6.941646, 4.123266
1.530000, 5.841366, 2.058187, 3.109779, 4.964224, 9.644762, 6.973444, 4.151943
1.540000, 5.879365, 2.095560, 3.140299, 4.993209, 9.682817, 7.005305, 4.180771
1.550000, 5.917365, 2.132959, 3.170982, 5.022315, 9.720873, 7.037228, 4.209746
1.560000, 5.955366, 2.170381, 3.201825, 5.051540, 9.758929, 7.069212, 4.238865
1.570000, 5.993369, 2.207826, 3.232822, 5.080883, 9.796986, 7.101256, 4.268125
1.580000, 6.031372, 2.245293, 3.263969, 5.110341, 9.835042, 7.133359, 4.297523
1.590000, 6.069377, 2.282780, 3.295262, 5.139913, 9.873099, 7.165521, 4.327057
1.600000, 6.107382, 2.320287, 3.326696, 5.169596, 9.911156, 7.197742, 4.356724
1.610000, 6.145389, 2.357812, 3.358269, 5.199388, 9.949214, 7.230019, 4.386521
1.620000, 6.183397, 2.395355, 3.389975, 5.229289, 9.987271, 7.262352, 4.416446
1.630000, 6.221405, 2.432915, 3.421812, 5.259295, 10.025329, 7.294741, 4.446495
1.640000, 6.259415, 2.470491, 3.453775, 5.289405, 10.063387, 7.327185, 4.476667
1.650000, 6.297425, 2.508082, 3.485861, 5.319618, 10.101446, 7.359683, 4.506958
1.660000, 6.335437, 2.545688, 3.518067, 5.349931, 10.139504, 7.392234, 4.537367
1.670000, 6.373449, 2.583309, 3.550389, 5.380343, 10.177563, 7.424838, 4.567891
1.680000, 6.411463, 2.620942, 3.582824, 5.410852, 10.215622, 7.457494, 4.598528
1.690000, 6.449477, 2.658589, 3.615370, 5.441456, 10.253681, 7.490201, 4.629276
1.700000, 6.487492, 2.696248, 3.648024, 5.472155, 10.291740, 7.522959, 4.660132
1.710000, 6.525508, 2.733919, 3.680781, 5.502946, 10.329800, 7.555767, 4.691095
1.720000, 6.563525, 2.771601, 3.713641, 5.533828, 10.367860, 7.588624, 4.722161
1.730000, 6.601542, 2.809294, 3.746599, 5.564799, 10.405920, 7.621530, 4.753330
1.740000, 6.639561, 2.846997, 3.779654, 5.595858, 10.443980, 7.654484, 4.784599
1.750000, 6.677580, 2.884711, 3.812802, 5.627003, 10.482041, 7.687485, 4.815966
1.760000, 6.715600, 2.922435, 3.846043, 5.658234, 10.520101, 7.720534, 4.847430
1.770000, 6.753620, 2.960167, 3.879372, 5.689547, 10.558162, 7.753628, 4.878988
1.780000, 6.791642, 2.997909, 3.912788, 5.720943, 10.596223, 7.786768, 4.910638
1.790000, 6.829664, 3.035659, 3.946289, 5.752420, 10.634284, 7.819953, 4.942379
1.800000, 6.867687, 3.073418, 3.979873, 5.783977, 10.672346, 7.853183, 4.974210
1.810000, 6.905711, 3.111185, 4.013536, 5.815611, 10.710407, 7.886457, 5.006128
1.820000, 6.943735, 3.148959, 4.047279, 5.847323, 10.748469, 7.919774, 5.038131
1.830000, 6.981760, 3.186741, 4.081097, 5.879110, 10.786531, 7.953134, 5.070219
1.840000, 7.019786, 3.224530, 4.114991, 5.910972, 10.824593, 7.986536, 5.102389
1.850000, 7.057813, 3.262326, 4.148957, 5.942907, 10.862656, 8.019980, 5.134641
1.860000, 7.095840, 3.300129, 4.182994, 5.974914, 10.900718, 8.053465, 5.166971
1.870000, 7.133868, 3.337938, 4.217101, 6.006992, 10.938781, 8.086991, 5.199380
1.880000, 7.171896, 3.375753, 4.251275, 6.039140, 10.976844, 8.120557, 5.231865
1.890000, 7.209925, 3.413575, 4.285515, 6.071357, 11.014907, 8.154163, 5.264426
1.900000, 7.247955, 3.451402, 4.319819, 6.103642, 11.052970, 8.187809, 5.297060
1.910000, 7.285985, 3.489235, 4.354187, 6.135992, 11.091034, 8.221492, 5.329766
1.920000, 7.324016, 3.527074, 4.388616, 6.168409, 11.129098, 8.255215, 5.362544
1.930000, 7.362048, 3.564918, 4.423104, 6.200890, 11.167161, 8.288975, 5.395391
1.940000, 7.400080, 3.602767, 4.457652, 6.233434, 11.205225, 8.322772, 5.428307
1.950000, 7.438112, 3.640621, 4.492257, 6.266041, 11.243289, 8.356607, 5.461290
1.960000, 7.476146, 3.678479, 4.526917, 6.298710, 11.281354, 8.390477, 5.494339
1.970000, 7.514180, 3.716343, 4.561633, 6.331439, 11.319418, 8.424384, 5.527453
1.980000, 7.552214, 3.754211, 4.596401, 6.364227, 11.357483, 8.458327, 5.560630
1.990000, 7.590249, 3.792083, 4.631222, 6.397075, 11.395548, 8.492304, 5.593870
2.000000, 7.628284, 3.829960, 4.666094, 6.429980, 11.433612, 8.526317, 5.627172
2.010000, 7.666320, 3.867841, 4.701016, 6.462942, 11.471678, 8.560363, 5.660534
2.020000, 7.704357, 3.905726, 4.735987, 6.495960, 11.509743, 8.594444, 5.693955
2.030000, 7.742394, 3.943615, 4.771006, 6.529033, 11.547808, 8.628558, 5.727435
2.040000, 7.780431, 3.981507, 4.806071, 6.562161, 11.585874, 8.662705, 5.760972
2.050000, 7.818469, 4.019404, 4.841182, 6.595343, 11.623939, 8.696885, 5.794565
2.060000, 7.856508, 4.057304, 4.876337, 6.628577, 11.662005, 8.731098, 5.828213
2.070000, 7.894547, 4.095207, 4.911537, 6.661863, 11.700071, 8.765342, 5.861916
2.080000, 7.932586, 4.133114, 4.946779, 6.695200, 11.738137, 8.799618, 5.895672
2.090000, 7.970626, 4.171024, 4.982063, 6.728588, 11.776204, 8.833925, 5.929481
2.100000, 8.008666, 4.208937, 5.017388, 6.762025, 11.814270, 8.868263, 5.963341
2.110000, 8.046707, 4.246854, 5.052753, 6.795512, 11.852337, 8.902632, 5.997252
2.120000, 8.084748, 4.284774, 5.088157, 6.829046, 11.890403, 8.937030, 6.031213
2.130000, 8.122790, 4.322696, 5.123600, 6.862628, 11.928470, 8.971459, 6.065222
2.140000, 8.160832, 4.360621, 5.159081, 6.896257, 11.966537, 9.005917, 6.099281
2.150000, 8.198875, 4.398550, 5.194599, 6.929932, 12.004604, 9.040404, 6.133386
2.160000, 8.236918, 4.436481, 5.230152, 6.963653, 12.042672, 9.074920, 6.167538
2.170000, 8.274961, 4.474414, 5.265742, 6.997419, 12.080739, 9.109464, 6.201736
2.180000, 8.313005, 4.512350, 5.301366, 7.031228, 12.118807, 9.144037, 6.235979
2.190000, 8.351049, 4.550289, 5.337024, 7.065081, 12.156874, 9.178637, 6.270267
2.200000, 8.389094, 4.588230, 5.372715, 7.098977, 12.194942, 9.213265, 6.304598
2.210000, 8.427139, 4.626174, 5.408439, 7.132916, 12.233010, 9.247920, 6.338972
2.220000, 8.465185, 4.664120, 5.444195, 7.166896, 12.271078, 9.282602, 6.373388
2.230000, 8.503230, 4.702068, 5.479983, 7.200917, 12.309146, 9.317311, 6.407845
2.240000, 8.541277, 4.740019, 5.515801, 7.234979, 12.347215, 9.352046, 6.442344
2.250000, 8.579323, 4.777972, 5.551650, 7.269080, 12.385283, 9.386807, 6.476883
2.260000, 8.617370, 4.815927, 5.587528, 7.303222, 12.423352, 9.421594, 6.511461
2.270000, 8.655418, 4.853884, 5.623435, 7.337402, 12.461420, 9.456406, 6.546079
2.280000, 8.693465, 4.891843, 5.659371, 7.371620, 12.499489, 9.491243, 6.580735
2.290000, 8.731513, 4.929804, 5.695335, 7.405876, 12.537558, 9.526105, 6.615428
2.300000, 8.769562, 4.967767, 5.731326, 7.440169, 12.575627, 9.560992, 6.650159
2.310000, 8.807610, 5.005732, 5.767345, 7.474499, 12.613696, 9.595903, 6.684926
2.320000, 8.845659, 5.043698, 5.803389, 7.508866, 12.651765, 9.630838, 6.719729
2.330000, 8.883709, 5.081667, 5.839460, 7.543268, 12.689835, 9.665797, 6.754568
2.340000, 8.921759, 5.119637, 5.875556, 7.577705, 12.727904, 9.700780, 6.789442
2.350000, 8.959809, 5.157609, 5.911677, 7.612177, 12.765974, 9.735786, 6.824350
2.360000, 8.997859, 5.195583, 5.947823, 7.646684, 12.804044, 9.770815, 6.859292
2.370000, 9.035910, 5.233559, 5.983992, 7.681224, 12.842113, 9.805867, 6.894267
2.380000, 9.073961, 5.271536, 6.020186, 7.715798, 12.880183, 9.840941, 6.929275
2.390000, 9.112012, 5.309514, 6.056402, 7.750405, 12.918253, 9.876038, 6.964315
2.400000, 9.150064, 5.347495, 6.092642, 7.785044, 12.956324, 9.911156, 6.999387
2.410000, 9.188116, 5.385476, 6.128904, 7.819715, 12.994394, 9.946297, 7.034491
2.420000, 9.226168, 5.423460, 6.165187, 7.854418, 13.032464, 9.981459, 7.069625
2.430000, 9.264221, 5.461444, 6.201493, 7.889152, 13.070535, 10.016643, 7.104790
2.440000, 9.302273, 5.499430, 6.237820, 7.923917, 13.108605, 10.051848, 7.139985
2.450000, 9.340327, 5.537418, 6.274167, 7.958712, 13.146676, 10.087074, 7.175210
2.460000, 9.378380, 5.575407, 6.310536, 7.993538, 13.184747, 10.122320, 7.210463
2.470000, 9.416434, 5.613397, 6.346924, 8.028393, 13.222818, 10.157587, 7.245745
2.480000, 9.454488, 5.651389, 6.383332, 8.063277, 13.260889, 10.192875, 7.281056
2.490000, 9.492542, 5.689382, 6.419760, 8.098190, 13.298960, 10.228182, 7.316394
2.500000, 9.530597, 5.727376, 6.456207, 8.133132, 13.337031, 10.263509, 7.351760
2.510000, 9.568651, 5.765371, 6.492673, 8.168102, 13.375102, 10.298856, 7.387153
2.520000, 9.606707, 5.803368, 6.529157, 8.203100, 13.413174, 10.334223, 7.422573
2.530000, 9.644762, 5.841366, 6.565660, 8.238125, 13.451245, 10.369609, 7.458019
2.540000, 9.682817, 5.879365, 6.602180, 8.273177, 13.489317, 10.405014, 7.493491
2.550000, 9.720873, 5.917365, 6.638718, 8.308256, 13.527388, 10.440437, 7.528988
2.560000, 9.758929, 5.955366, 6.675273, 8.343361, 13.565460, 10.475880, 7.564511
2.570000, 9.796986, 5.993369, 6.711846, 8.378492, 13.603532, 10.511341, 7.600058
2.580000, 9.835042, 6.031372, 6.748435, 8.413649, 13.641604, 10.546820, 7.635630
2.590000, 9.873099, 6.069377, 6.785041, 8.448832, 13.679676, 10.582318, 7.671226
2.600000, 9.911156, 6.107382, 6.821663, 8.484039, 13.717748, 10.617833, 7.706846
2.610000, 9.949214, 6.145389, 6.858301, 8.519271, 13.755820, 10.653366, 7.742490
2.620000, 9.987271, 6.183397, 6.894954, 8.554528, 13.793893, 10.688917, 7.778156
2.630000, 10.025329, 6.221405, 6.931623, 8.589809, 13.831965, 10.724485, 7.813846
2.640000, 10.063387, 6.259415, 6.968308, 8.625114, 13.870038, 10.760071, 7.849558
2.650000, 10.101446, 6.297425, 7.005007, 8.660442, 13.908110, 10.795673, 7.885292
2.660000, 10.139504, 6.335437, 7.041721, 8.695794, 13.946183, 10.831292, 7.921049
2.670000, 10.177563, 6.373449, 7.078450, 8.731169, 13.984256, 10.866929, 7.956827
2.680000, 10.215622, 6.411463, 7.115193, 8.766567, 14.022328, 10.902581, 7.992626
2.690000, 10.253681, 6.449477, 7.151950, 8.801987, 14.060401, 10.938251, 8.028446
2.700000, 10.291740, 6.487492, 7.188720, 8.837429, 14.098474, 10.973936, 8.064287
2.710000, 10.329800, 6.525508, 7.225505, 8.872893, 14.136547, 11.009638, 8.100149
2.720000, 10.367860, 6.563525, 7.262303, 8.908379, 14.174621, 11.045355, 8.136031
2.730000, 10.405920, 6.601542, 7.299114, 8.943886, 14.212694, 11.081088, 8.171933
2.740000, 10.443980, 6.639561, 7.335938, 8.979414, 14.250767, 11.116837, 8.207854
2.750000, 10.482041, 6.677580, 7.372775, 9.014963, 14.288841, 11.152602, 8.243795
2.760000, 10.520101, 6.715600, 7.409625, 9.050533, 14.326914, 11.188382, 8.279755
2.770000, 10.558162, 6.753620, 7.446487, 9.086124, 14.364988, 11.224177, 8.315735
2.780000, 10.596223, 6.791642, 7.483362, 9.121734, 14.403061, 11.259987, 8.351732
2.790000, 10.634284, 6.829664, 7.520248, 9.157365, 14.441135, 11.295811, 8.387749
2.800000, 10.672346, 6.867687, 7.557147, 9.193015, 14.479209, 11.331651, 8.423783
2.810000, 10.710407, 6.905711, 7.594057, 9.228684, 14.517283, 11.367505, 8.459836
2.820000, 10.748469, 6.943735, 7.630979, 9.264373, 14.555357, 11.403374, 8.495906
2.830000, 10.786531, 6.981760, 7.667912, 9.300081, 14.593431, 11.439257, 8.531994
2.840000, 10.824593, 7.019786, 7.704857, 9.335808, 14.631505, 11.475155, 8.568099
2.850000, 10.862656, 7.057813, 7.741812, 9.371553, 14.669579, 11.511066, 8.604222
2.860000, 10.900718, 7.095840, 7.778779, 9.407317, 14.707654, 11.546992, 8.640361
2.870000, 10.938781, 7.133868, 7.815756, 9.443099, 14.745728, 11.582931, 8.676517
2.880000, 10.976844, 7.171896, 7.852744, 9.478899, 14.783802, 11.618884, 8.712689
2.890000, 11.014907, 7.209925, 7.889742, 9.514717, 14.821877, 11.654850, 8.748878
2.900000, 11.052970, 7.247955, 7.926751, 9.550552, 14.859951, 11.690830, 8.785082
2.910000, 11.091034, 7.285985, 7.963770, 9.586404, 14.898026, 11.726823, 8.821303
2.920000, 11.129098, 7.324016, 8.000799, 9.622274, 14.936101, 11.762830, 8.857539
2.930000, 11.167161, 7.362048, 8.037838, 9.658161, 14.974176, 11.798849, 8.893791
2.940000, 11.205225, 7.400080, 8.074886, 9.694065, 15.012250, 11.834882, 8.930057
2.950000, 11.243289, 7.438112, 8.111944, 9.729985, 15.050325, 11.870927, 8.966340
2.960000, 11.281354, 7.476146, 8.149012, 9.765922, 15.088400, 11.906985, 9.002637
2.970000, 11.319418, 7.514180, 8.186089, 9.801874, 15.126475, 11.943056, 9.038948
