pt, Ef, Ei_phi=0, Ei_phi=0.5, Ei_phi=1, Ei_phi=pi, Ei_phi=pi/2, Ei_phi=pi/4
3.550000, 13.527388, 9.720873, 10.349137, 11.909881, 17.334930, 14.053383, 11.165305
3.560000, 13.565460, 9.758929, 10.386601, 11.946546, 17.373008, 14.090034, 11.202247
3.570000, 13.603532, 9.796986, 10.424070, 11.983220, 17.411086, 14.126692, 11.239197
3.580000, 13.641604, 9.835042, 10.461543, 12.019903, 17.449165, 14.163358, 11.276154
3.590000, 13.679676, 9.873099, 10.499021, 12.056595, 17.487243, 14.200031, 11.313119
3.600000, 13.717748, 9.911156, 10.536502, 12.093296, 17.525322, 14.236712, 11.350092
3.610000, 13.755820, 9.949214, 10.573989, 12.130005, 17.563400, 14.273400, 11.387072
3.620000, 13.793893, 9.987271, 10.611479, 12.166722, 17.601479, 14.310095, 11.424059
3.630000, 13.831965, 10.025329, 10.648974, 12.203448, 17.639558, 14.346798, 11.461053
3.640000, 13.870038, 10.063387, 10.686473, 12.240182, 17.677636, 14.383508, 11.498054
3.650000, 13.908110, 10.101446, 10.723976, 12.276925, 17.715715, 14.420225, 11.535063
3.660000, 13.946183, 10.139504, 10.761483, 12.313675, 17.753794, 14.456949, 11.572078
3.670000, 13.984256, 10.177563, 10.798994, 12.350434, 17.791872, 14.493680, 11.609101
3.680000, 14.022328, 10.215622, 10.836510, 12.387201, 17.829951, 14.530418, 11.646130
3.690000, 14.060401, 10.253681, 10.874029, 12.423976, 17.868030, 14.567163, 11.683166
3.700000, 14.098474, 10.291740, 10.911552, 12.460758, 17.906109, 14.603915, 11.720209
3.710000, 14.136547, 10.329800, 10.949079, 12.497549, 17.944188, 14.640674, 11.757259
3.720000, 14.174621, 10.367860, 10.986610, 12.534347, 17.982267, 14.677439, 11.794315
3.730000, 14.212694, 10.405920, 11.024145, 12.571153, 18.020346, 14.714212, 11.831378
3.740000, 14.250767, 10.443980, 11.061684, 12.607966, 18.058425, 14.750991, 11.868447
3.750000, 14.288841, 10.482041, 11.099226, 12.644787, 18.096504, 14.787776, 11.905522
3.760000, 14.326914, 10.520101, 11.136772, 12.681616, 18.134583, 14.824568, 11.942604
3.770000, 14.364988, 10.558162, 11.174322, 12.718452, 18.172663, 14.861367, 11.979693
3.780000, 14.403061, 10.596223, 11.211875, 12.755295, 18.210742, 14.898172, 12.016787
3.790000, 14.441135, 10.634284, 11.249432, 12.792146, 18.248821, 14.934984, 12.053888
3.800000, 14.479209, 10.672346, 11.286993, 12.829004, 18.286900, 14.971802, 12.090995
3.810000, 14.517283, 10.710407, 11.324557, 12.865869, 18.324980, 15.008626, 12.128108
3.820000, 14.555357, 10.748469, 11.362124, 12.902741, 18.363059, 15.045457, 12.165227
3.830000, 14.593431, 10.786531, 11.399695, 12.939620, 18.401139, 15.082294, 12.202352
3.840000, 14.631505, 10.824593, 11.437270, 12.976506, 18.439218, 15.119137, 12.239483
3.850000, 14.669579, 10.862656, 11.474848, 13.013400, 18.477298, 15.155986, 12.276620
3.860000, 14.707654, 10.900718, 11.512429, 13.050300, 18.515377, 15.192841, 12.313763
3.870000, 14.745728, 10.938781, 11.550013, 13.087206, 18.553457, 15.229703, 12.350911
3.880000, 14.783802, 10.976844, 11.587601, 13.124120, 18.591536, 15.266570, 12.388065
3.890000, 14.821877, 11.014907, 11.625192, 13.161040, 18.629616, 15.303444, 12.425225
3.900000, 14.859951, 11.052970, 11.662787, 13.197967, 18.667696, 15.340323, 12.462391
3.910000, 14.898026, 11.091034, 11.700384, 13.234900, 18.705775, 15.377208, 12.499561
3.920000, 14.936101, 11.129098, 11.737985, 13.271840, 18.743855, 15.414099, 12.536738
3.930000, 14.974176, 11.167161, 11.775588, 13.308787, 18.781935, 15.450996, 12.573920
3.940000, 15.012250, 11.205225, 11.813195, 13.345740, 18.820015, 15.487899, 12.611107
3.950000, 15.050325, 11.243289, 11.850805, 13.382699, 18.858095, 15.524807, 12.648300
3.960000, 15.088400, 11.281354, 11.888418, 13.419665, 18.896174, 15.561722, 12.685498
3.970000, 15.126475, 11.319418, 11.926034, 13.456636, 18.934254, 15.598641, 12.722701
3.980000, 15.164550, 11.357483, 11.963653, 13.493614, 18.972334, 15.635567, 12.759910
3.990000, 15.202626, 11.395548, 12.001275, 13.530599, 19.010414, 15.672498, 12.797123
4.000000, 15.240701, 11.433612, 12.038900, 13.567589, 19.048494, 15.709434, 12.834342
