ptf, phif, pti, pti/ptf
0.150000, -3.141593, 1.150000, 7.666667
0.150000, -3.078761, 1.149743, 7.664951
0.150000, -3.015929, 1.148971, 7.659807
0.150000, -2.953097, 1.147687, 7.651249
0.150000, -2.890265, 1.145895, 7.639299
0.150000, -2.827433, 1.143598, 7.623988
0.150000, -2.764602, 1.140804, 7.605358
0.150000, -2.701770, 1.137518, 7.583456
0.150000, -2.638938, 1.133751, 7.558342
0.150000, -2.576106, 1.129512, 7.530083
0.150000, -2.513274, 1.124813, 7.498756
0.150000, -2.450442, 1.119667, 7.464446
0.150000, -2.387610, 1.114087, 7.427249
0.150000, -2.324779, 1.108090, 7.387269
0.150000, -2.261947, 1.101693, 7.344619
0.150000, -2.199115, 1.094914, 7.299423
0.150000, -2.136283, 1.087772, 7.251814
0.150000, -2.073451, 1.080290, 7.201932
0.150000, -2.010619, 1.072490, 7.149930
0.150000, -1.947787, 1.064395, 7.095969
0.150000, -1.884956, 1.056033, 7.040218
0.150000, -1.822124, 1.047429, 6.982858
0.150000, -1.759292, 1.038612, 6.924078
0.150000, -1.696460, 1.029612, 6.864077
0.150000, -1.633628, 1.020459, 6.803062
0.150000, -1.570796, 1.011187, 6.741249
0.150000, -1.507964, 1.001830, 6.678865
0.150000, -1.445133, 0.992421, 6.616142
0.150000, -1.382301, 0.982998, 6.553322
0.150000, -1.319469, 0.973598, 6.490653
0.150000, -1.256637, 0.964259, 6.428392
0.150000, -1.193805, 0.955020, 6.366798
0.150000, -1.130973, 0.945921, 6.306139
0.150000, -1.068142, 0.937003, 6.246684
0.150000, -1.005310, 0.928306, 6.188706
0.150000, -0.942478, 0.919872, 6.132480
0.150000, -0.879646, 0.911742, 6.078278
0.150000, -0.816814, 0.903956, 6.026371
0.150000, -0.753982, 0.896554, 5.977028
0.150000, -0.691150, 0.889576, 5.930509
0.150000, -0.628319, 0.883060, 5.887066
0.150000, -0.565487, 0.877041, 5.846943
0.150000, -0.502655, 0.871555, 5.810366
0.150000, -0.439823, 0.866632, 5.777550
0.150000, -0.376991, 0.862303, 5.748689
0.150000, -0.314159, 0.858594, 5.723958
0.150000, -0.251327, 0.855526, 5.703508
0.150000, -0.188496, 0.853120, 5.687467
0.150000, -0.125664, 0.851390, 5.675936
