etaf, ptf, dF
-4.700000, 0.304000, 0.000000
-4.700000, 0.342500, 0.000000
-4.700000, 0.381000, 0.000000
-4.700000, 0.419500, 0.000000
-4.700000, 0.458000, 0.000000
-4.700000, 0.496500, 0.000000
-4.700000, 0.535000, 0.000000
-4.700000, 0.573500, 0.000000
-4.700000, 0.612000, 0.000000
-4.700000, 0.650500, 0.000000
-4.700000, 0.689000, 0.000000
-4.700000, 0.727500, 0.000000
-4.700000, 0.766000, -0.010570
-4.700000, 0.804500, -0.014498
-4.700000, 0.843000, -0.016099
-4.700000, 0.881500, -0.015640
-4.700000, 0.920000, -0.012991
-4.700000, 0.958500, -0.008023
-4.700000, 0.997000, -0.000799
-4.700000, 1.035500, 0.007276
-4.700000, 1.074000, 0.014137
-4.700000, 1.112500, 0.019151
-4.700000, 1.151000, 0.021894
-4.700000, 1.189500, 0.021947
-4.700000, 1.228000, 0.018461
-4.700000, 1.266500, 0.006600
-4.700000, 1.305000, 0.000132
-4.700000, 1.343500, 0.000003
-4.700000, 1.382000, 0.000000
-4.700000, 1.420500, 0.000000
-4.700000, 1.459000, 0.000000
-4.700000, 1.497500, 0.000000
-4.700000, 1.536000, 0.000000
-4.700000, 1.574500, 0.000000
-4.700000, 1.613000, 0.000000
-4.700000, 1.651500, 0.000000
-4.700000, 1.690000, 0.000000
-4.700000, 1.728500, 0.000000
-4.700000, 1.767000, 0.000000
-4.700000, 1.805500, 0.000000
-4.700000, 1.844000, 0.000000
-4.700000, 1.882500, 0.000000
-4.700000, 1.921000, 0.000000
-4.700000, 1.959500, 0.000000
-4.700000, 1.998000, 0.000000
-4.700000, 2.036500, 0.000000
-4.700000, 2.075000, 0.000000
-4.700000, 2.113500, 0.000000
-4.700000, 2.152000, 0.000000
-4.700000, 2.190500, 0.000000
-4.700000, 2.229000, 0.000000
-4.700000, 2.267500, 0.000000
-4.700000, 2.306000, 0.000000
-4.700000, 2.344500, 0.000000
-4.700000, 2.383000, 0.000000
-4.700000, 2.421500, 0.000000
-4.700000, 2.460000, 0.000000
-4.700000, 2.498500, 0.000000
-4.700000, 2.537000, 0.000000
-4.700000, 2.575500, 0.000000
-4.700000, 2.614000, 0.000000
-4.700000, 2.652500, 0.000000
-4.700000, 2.691000, 0.000000
-4.700000, 2.729500, 0.000000
-4.700000, 2.768000, 0.000000
-4.700000, 2.806500, 0.000000
-4.700000, 2.845000, 0.000000
-4.700000, 2.883500, 0.000000
-4.700000, 2.922000, 0.000000
-4.700000, 2.960500, 0.000000
-4.700000, 2.999000, 0.000000
-4.700000, 3.037500, 0.000000
-4.700000, 3.076000, 0.000000
-4.700000, 3.114500, 0.000000
-4.700000, 3.153000, 0.000000
-4.700000, 3.191500, 0.000000
-4.700000, 3.230000, 0.000000
-4.700000, 3.268500, 0.000000
-4.700000, 3.307000, 0.000000
-4.700000, 3.345500, 0.000000
-4.700000, 3.384000, 0.000000
-4.700000, 3.422500, 0.000000
-4.700000, 3.461000, 0.000000
-4.700000, 3.499500, 0.000000
-4.700000, 3.538000, 0.000000
-4.700000, 3.576500, 0.000000
-4.700000, 3.615000, 0.000000
-4.700000, 3.653500, 0.000000
-4.700000, 3.692000, 0.000000
-4.700000, 3.730500, 0.000000
-4.700000, 3.769000, 0.000000
-4.700000, 3.807500, 0.000000
-4.700000, 3.846000, 0.000000
-4.700000, 3.884500, 0.000000
-4.700000, 3.923000, 0.000000
-4.700000, 3.961500, 0.000000
-4.700000, 4.000000, 0.000000
-4.600000, 0.150000, 0.000000
-4.600000, 0.188500, 0.000000
-4.600000, 0.227000, 0.000000
-4.600000, 0.265500, 0.000000
-4.600000, 0.304000, 0.000000
-4.600000, 0.342500, 0.000000
-4.600000, 0.381000, 0.000000
-4.600000, 0.419500, 0.000000
-4.600000, 0.458000, 0.000000
-4.600000, 0.496500, 0.000000
-4.600000, 0.535000, 0.000000
-4.600000, 0.573500, 0.000000
-4.600000, 0.612000, 0.000000
-4.600000, 0.650500, 0.000000
-4.600000, 0.689000, 0.000000
-4.600000, 0.727500, -0.008774
-4.600000, 0.766000, -0.013583
-4.600000, 0.804500, -0.016230
-4.600000, 0.843000, -0.017141
-4.600000, 0.881500, -0.016218
-4.600000, 0.920000, -0.013254
-4.600000, 0.958500, -0.008095
-4.600000, 0.997000, -0.000801
-4.600000, 1.035500, 0.007329
-4.600000, 1.074000, 0.014387
-4.600000, 1.112500, 0.019784
-4.600000, 1.151000, 0.023162
-4.600000, 1.189500, 0.024244
-4.600000, 1.228000, 0.022628
-4.600000, 1.266500, 0.017196
-4.600000, 1.305000, 0.000344
-4.600000, 1.343500, 0.000007
-4.600000, 1.382000, 0.000000
-4.600000, 1.420500, 0.000000
-4.600000, 1.459000, 0.000000
-4.600000, 1.497500, 0.000000
-4.600000, 1.536000, 0.000000
-4.600000, 1.574500, 0.000000
-4.600000, 1.613000, 0.000000
-4.600000, 1.651500, 0.000000
