ptf, phif, pti, pti/ptf
0.160000, -1.822124, 2.045669, 12.785431
0.160000, -1.759292, 2.036056, 12.725350
0.160000, -1.696460, 2.026281, 12.664254
0.160000, -1.633628, 2.016379, 12.602371
0.160000, -1.570796, 2.006390, 12.539936
0.160000, -1.507964, 1.996350, 12.477189
0.160000, -1.445133, 1.986300, 12.414373
0.160000, -1.382301, 1.976278, 12.351739
0.160000, -1.319469, 1.966326, 12.289538
0.160000, -1.256637, 1.956484, 12.228024
0.160000, -1.193805, 1.946792, 12.167452
0.160000, -1.130973, 1.937292, 12.108077
0.160000, -1.068142, 1.928024, 12.050152
0.160000, -1.005310, 1.919029, 11.993929
0.160000, -0.942478, 1.910345, 11.939655
0.160000, -0.879646, 1.902012, 11.887573
0.160000, -0.816814, 1.894067, 11.837919
0.160000, -0.753982, 1.886547, 11.790920
0.160000, -0.691150, 1.879487, 11.746794
0.160000, -0.628319, 1.872920, 11.705750
0.160000, -0.565487, 1.866877, 11.667982
0.160000, -0.502655, 1.861388, 11.633672
0.160000, -0.439823, 1.856478, 11.602988
0.160000, -0.376991, 1.852173, 11.576078
0.160000, -0.314159, 1.848492, 11.553077
0.160000, -0.251327, 1.845456, 11.534098
0.160000, -0.188496, 1.843078, 11.519237
0.160000, -0.125664, 1.841371, 11.508568
0.160000, -0.062832, 1.840343, 11.502145
0.160000, 0.000000, 1.840000, 11.500000
0.160000, 0.062832, 1.840343, 11.502145
0.160000, 0.125664, 1.841371, 11.508568
0.160000, 0.188496, 1.843078, 11.519237
0.160000, 0.251327, 1.845456, 11.534098
0.160000, 0.314159, 1.848492, 11.553077
0.160000, 0.376991, 1.852173, 11.576078
0.160000, 0.439823, 1.856478, 11.602988
0.160000, 0.502655, 1.861388, 11.633672
0.160000, 0.565487, 1.866877, 11.667982
0.160000, 0.628319, 1.872920, 11.705750
0.160000, 0.691150, 1.879487, 11.746794
0.160000, 0.753982, 1.886547, 11.790920
0.160000, 0.816814, 1.894067, 11.837919
0.160000, 0.879646, 1.902012, 11.887573
0.160000, 0.942478, 1.910345, 11.939655
0.160000, 1.005310, 1.919029, 11.993929
0.160000, 1.068142, 1.928024, 12.050152
0.160000, 1.130973, 1.937292, 12.108077
0.160000, 1.193805, 1.946792, 12.167452
0.160000, 1.256637, 1.956484, 12.228024
0.160000, 1.319469, 1.966326, 12.289538
0.160000, 1.382301, 1.976278, 12.351739
0.160000, 1.445133, 1.986300, 12.414373
0.160000, 1.507964, 1.996350, 12.477189
0.160000, 1.570796, 2.006390, 12.539936
0.160000, 1.633628, 2.016379, 12.602371
0.160000, 1.696460, 2.026281, 12.664254
0.160000, 1.759292, 2.036056, 12.725350
0.160000, 1.822124, 2.045669, 12.785431
0.160000, 1.884956, 2.055084, 12.844276
0.160000, 1.947787, 2.064267, 12.901671
0.160000, 2.010619, 2.073186, 12.957410
0.160000, 2.073451, 2.081807, 13.011297
0.160000, 2.136283, 2.090103, 13.063142
0.160000, 2.199115, 2.098043, 13.112766
0.160000, 2.261947, 2.105600, 13.160000
0.160000, 2.324779, 2.112749, 13.204684
0.160000, 2.387610, 2.119467, 13.246668
0.160000, 2.450442, 2.125730, 13.285813
0.160000, 2.513274, 2.131518, 13.321990
0.160000, 2.576106, 2.136813, 13.355081
0.160000, 2.638938, 2.141597, 13.384979
0.160000, 2.701770, 2.145854, 13.411587
0.160000, 2.764602, 2.149571, 13.434821
0.160000, 2.827433, 2.152737, 13.454606
0.160000, 2.890265, 2.155341, 13.470879
0.160000, 2.953097, 2.157374, 13.483589
0.160000, 3.015929, 2.158831, 13.492697
0.160000, 3.078761, 2.159708, 13.498173
0.170000, -3.141593, 2.170000, 12.764706
0.170000, -3.078761, 2.169691, 12.762887
0.170000, -3.015929, 2.168764, 12.757436
0.170000, -2.953097, 2.167223, 12.748370
0.170000, -2.890265, 2.165072, 12.735717
0.170000, -2.827433, 2.162318, 12.719517
0.170000, -2.764602, 2.158969, 12.699819
0.170000, -2.701770, 2.155037, 12.676685
0.170000, -2.638938, 2.150532, 12.650189
0.170000, -2.576106, 2.145470, 12.620414
0.170000, -2.513274, 2.139867, 12.587454
0.170000, -2.450442, 2.133741, 12.551415
0.170000, -2.387610, 2.127110, 12.512414
0.170000, -2.324779, 2.119998, 12.470577
0.170000, -2.261947, 2.112427, 12.426042
0.170000, -2.199115, 2.104422, 12.378956
0.170000, -2.136283, 2.096011, 12.329477
0.170000, -2.073451, 2.087221, 12.277772
0.170000, -2.010619, 2.078083, 12.224019
