pt, Njetdis
3.050000, 0.010636
3.060000, 0.010445
3.070000, 0.010258
3.080000, 0.010074
3.090000, 0.009893
3.100000, 0.009716
3.110000, 0.009542
3.120000, 0.009371
3.130000, 0.009203
3.140000, 0.009038
3.150000, 0.008876
3.160000, 0.008717
3.170000, 0.008560
3.180000, 0.008407
3.190000, 0.008257
3.200000, 0.008109
3.210000, 0.007964
3.220000, 0.007821
3.230000, 0.007681
3.240000, 0.007544
3.250000, 0.007409
3.260000, 0.007276
3.270000, 0.007146
3.280000, 0.007018
3.290000, 0.006893
3.300000, 0.006769
3.310000, 0.006648
3.320000, 0.006529
3.330000, 0.006413
3.340000, 0.006298
3.350000, 0.006186
3.360000, 0.006075
3.370000, 0.005967
3.380000, 0.005860
3.390000, 0.005756
3.400000, 0.005653
3.410000, 0.005552
3.420000, 0.005453
3.430000, 0.005356
3.440000, 0.005260
3.450000, 0.005167
3.460000, 0.005075
3.470000, 0.004984
3.480000, 0.004895
3.490000, 0.004808
3.500000, 0.004723
3.510000, 0.004639
3.520000, 0.004556
3.530000, 0.004475
3.540000, 0.004395
3.550000, 0.004317
3.560000, 0.004240
3.570000, 0.004165
3.580000, 0.004091
3.590000, 0.004018
3.600000, 0.003947
3.610000, 0.003877
3.620000, 0.003808
3.630000, 0.003741
3.640000, 0.003674
3.650000, 0.003609
3.660000, 0.003545
3.670000, 0.003482
3.680000, 0.003421
3.690000, 0.003360
3.700000, 0.003301
3.710000, 0.003242
3.720000, 0.003185
3.730000, 0.003128
3.740000, 0.003073
3.750000, 0.003019
3.760000, 0.002965
3.770000, 0.002913
3.780000, 0.002862
3.790000, 0.002811
3.800000, 0.002761
3.810000, 0.002713
3.820000, 0.002665
3.830000, 0.002618
3.840000, 0.002572
3.850000, 0.002526
3.860000, 0.002482
3.870000, 0.002438
3.880000, 0.002395
3.890000, 0.002353
3.900000, 0.002312
3.910000, 0.002271
3.920000, 0.002231
3.930000, 0.002192
3.940000, 0.002153
3.950000, 0.002116
3.960000, 0.002079
3.970000, 0.002042
3.980000, 0.002006
3.990000, 0.001971
4.000000, 0.001937
