#: table_doi: 10.17182/hepdata.105588.v1/t1
#: name: 1/NTRIG DN/DPHI
#: description: Long-range $\Delta\varphi$ projections in minimum bias and high-multiplicity events for various $p_\mathrm{T,trig(assoc)}$ ranges.

#: data_file: Table1.yaml
#: keyword reactions: PROTON PROTON --> CHARGED X
#: keyword observables: Per-trigger Yield
#: keyword cmenergies: 13000.0
#: FORWARD MULTIPLICITY CLASS [PCT],,,0-100
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,1-2
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
1.7671459999999999,1.668971,1.865321,0.00371468,0.000583649,-0.000583649,0.000153763,-0.000153763
1.9634955,1.865321,2.06167,0.00512672,0.00059045,-0.00059045,0.000208742,-0.000208742
2.159845,2.06167,2.25802,0.00780109,0.000605872,-0.000605872,0.000316717,-0.000316717
2.3561945,2.25802,2.454369,0.0102895,0.000615457,-0.000615457,0.000426721,-0.000426721
2.552544,2.454369,2.650719,0.0152708,0.000644862,-0.000644862,0.000635002,-0.000635002
2.7488935000000003,2.650719,2.847068,0.0162491,0.000643877,-0.000643877,0.000680921,-0.000680921
2.945243,2.847068,3.043418,0.0188157,0.00065862,-0.00065862,0.00077212,-0.00077212
3.1415925,3.043418,3.239767,0.0196665,0.0006622,-0.0006622,0.000813045,-0.000813045
3.337942,3.239767,3.436117,0.0194672,0.000665304,-0.000665304,0.000809142,-0.000809142
3.5342919999999998,3.436117,3.632467,0.0169217,0.000651262,-0.000651262,0.000701993,-0.000701993
3.7306415,3.632467,3.828816,0.0134692,0.000630727,-0.000630727,0.000563106,-0.000563106
3.926991,3.828816,4.025166,0.010668,0.00062097,-0.00062097,0.000445607,-0.000445607
4.123340499999999,4.025166,4.221515,0.00770887,0.000603067,-0.000603067,0.000317256,-0.000317256
4.31969,4.221515,4.417865,0.00483385,0.000595572,-0.000595572,0.00019735,-0.00019735
4.5160395,4.417865,4.614214,0.00351929,0.000584524,-0.000584524,0.000145254,-0.000145254

#: FORWARD MULTIPLICITY CLASS [PCT],,,0-100
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,3-4
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
-1.5707965000000002,-1.668971,-1.472622,0.00141298,0.000955258,-0.000955258,8.49387e-05,-8.49387e-05
-1.374447,-1.472622,-1.276272,0.00118789,0.000641272,-0.000641272,5.8223e-05,-5.8223e-05
-1.1780970000000002,-1.276272,-1.079922,0.00176986,0.000674116,-0.000674116,8.26048e-05,-8.26048e-05
-0.9817475,-1.079922,-0.883573,0.00127787,0.000662458,-0.000662458,6.65436e-05,-6.65436e-05
-0.785398,-0.883573,-0.687223,0.000153716,0.000620318,-0.000620318,7.8e-06,-7.8e-06
-0.5890485,-0.687223,-0.490874,0.00047068,0.00063195,-0.00063195,2.3979e-05,-2.3979e-05
-0.392699,-0.490874,-0.294524,-0.000691112,0.000592225,-0.000592225,3.33551e-05,-3.33551e-05
-0.1963495,-0.294524,-0.098175,-0.000221762,0.000632308,-0.000632308,1.1273e-05,-1.1273e-05
0.0,-0.098175,0.098175,-0.000395391,0.000620253,-0.000620253,1.95003e-05,-1.95003e-05
0.1963495,0.098175,0.294524,0.00244286,0.000695002,-0.000695002,0.000120964,-0.000120964
0.392699,0.294524,0.490874,0.000939235,0.000649241,-0.000649241,4.611e-05,-4.611e-05
0.5890485,0.490874,0.687223,-0.000204738,0.000631893,-0.000631893,1.00611e-05,-1.00611e-05
0.785398,0.687223,0.883573,-8.34732e-05,0.000630303,-0.000630303,4.05696e-06,-4.05696e-06
0.9817475,0.883573,1.079922,-0.000138921,0.000613636,-0.000613636,6.64036e-06,-6.64036e-06
1.1780970000000002,1.079922,1.276272,0.00154709,0.000667558,-0.000667558,7.71494e-05,-7.71494e-05
1.374447,1.276272,1.472622,0.000465785,0.000637105,-0.000637105,2.54804e-05,-2.54804e-05
1.5707965000000002,1.472622,1.668971,0.000318844,0.000616347,-0.000616347,1.87129e-05,-1.87129e-05
1.7671459999999999,1.668971,1.865321,0.00303524,0.00068031,-0.00068031,0.000175645,-0.000175645
1.9634955,1.865321,2.06167,0.00339617,0.000683409,-0.000683409,0.000182392,-0.000182392
2.159845,2.06167,2.25802,0.00445133,0.000714501,-0.000714501,0.000231715,-0.000231715
2.3561945,2.25802,2.454369,0.0065307,0.000746784,-0.000746784,0.000323336,-0.000323336
2.552544,2.454369,2.650719,0.00853007,0.000778002,-0.000778002,0.000415148,-0.000415148
2.7488935000000003,2.650719,2.847068,0.00921183,0.000773267,-0.000773267,0.000447327,-0.000447327
2.945243,2.847068,3.043418,0.0130087,0.000878166,-0.000878166,0.000660937,-0.000660937
3.1415925,3.043418,3.239767,0.0138038,0.000861637,-0.000861637,0.000654316,-0.000654316
3.337942,3.239767,3.436117,0.0123814,0.000855419,-0.000855419,0.000566605,-0.000566605
3.5342919999999998,3.436117,3.632467,0.00949744,0.0007942,-0.0007942,0.000436348,-0.000436348
3.7306415,3.632467,3.828816,0.00771452,0.000778784,-0.000778784,0.000378964,-0.000378964
3.926991,3.828816,4.025166,0.00648062,0.000749211,-0.000749211,0.000313942,-0.000313942
4.123340499999999,4.025166,4.221515,0.00503822,0.000725846,-0.000725846,0.000237875,-0.000237875
4.31969,4.221515,4.417865,0.00308086,0.000683656,-0.000683656,0.000139741,-0.000139741
4.5160395,4.417865,4.614214,0.000912713,0.00063546,-0.00063546,4.51284e-05,-4.51284e-05

#: FORWARD MULTIPLICITY CLASS [PCT],,,0-0.1
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,1-2
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
-1.5707965000000002,-1.668971,-1.472622,0.00321204,0.000790809,-0.000790809,5.98671e-05,-5.98671e-05
-1.374447,-1.472622,-1.276272,0.00074852,0.000558196,-0.000558196,1.38824e-05,-1.38824e-05
-1.1780970000000002,-1.276272,-1.079922,-0.000825613,0.000557398,-0.000557398,1.53552e-05,-1.53552e-05
-0.9817475,-1.079922,-0.883573,0.00139479,0.000558395,-0.000558395,2.60373e-05,-2.60373e-05
-0.785398,-0.883573,-0.687223,0.00394324,0.000559247,-0.000559247,7.35066e-05,-7.35066e-05
-0.5890485,-0.687223,-0.490874,0.00908311,0.00056119,-0.00056119,0.000168094,-0.000168094
-0.392699,-0.490874,-0.294524,0.0118096,0.00056178,-0.00056178,0.000218685,-0.000218685
-0.1963495,-0.294524,-0.098175,0.0145257,0.000563064,-0.000563064,0.000269654,-0.000269654
0.0,-0.098175,0.098175,0.0160743,0.000563406,-0.000563406,0.000300311,-0.000300311
0.1963495,0.098175,0.294524,0.0142582,0.000562521,-0.000562521,0.000264539,-0.000264539
0.392699,0.294524,0.490874,0.0125846,0.000562512,-0.000562512,0.000234448,-0.000234448
0.5890485,0.490874,0.687223,0.00828866,0.000560904,-0.000560904,0.000154061,-0.000154061
0.785398,0.687223,0.883573,0.00474403,0.000559691,-0.000559691,8.90381e-05,-8.90381e-05
0.9817475,0.883573,1.079922,0.00113109,0.00055827,-0.00055827,2.11816e-05,-2.11816e-05
1.1780970000000002,1.079922,1.276272,0.000561679,0.000558526,-0.000558526,1.04756e-05,-1.04756e-05
1.374447,1.276272,1.472622,0.00104224,0.000558413,-0.000558413,1.9243e-05,-1.9243e-05
1.5707965000000002,1.472622,1.668971,0.00400466,0.000559442,-0.000559442,7.40329e-05,-7.40329e-05
1.7671459999999999,1.668971,1.865321,0.00956522,0.000561457,-0.000561457,0.000177127,-0.000177127
1.9634955,1.865321,2.06167,0.0167469,0.00056434,-0.00056434,0.000309872,-0.000309872
2.159845,2.06167,2.25802,0.0227356,0.000566041,-0.000566041,0.000420619,-0.000420619
2.3561945,2.25802,2.454369,0.0323402,0.000569544,-0.000569544,0.000601812,-0.000601812
2.552544,2.454369,2.650719,0.0385544,0.00057167,-0.00057167,0.000724921,-0.000724921
2.7488935000000003,2.650719,2.847068,0.0449295,0.000573805,-0.000573805,0.000848647,-0.000848647
2.945243,2.847068,3.043418,0.0499876,0.000575718,-0.000575718,0.000938839,-0.000938839
3.1415925,3.043418,3.239767,0.0518088,0.00057629,-0.00057629,0.000961961,-0.000961961
3.337942,3.239767,3.436117,0.0487969,0.000575345,-0.000575345,0.000904722,-0.000904722
3.5342919999999998,3.436117,3.632467,0.0449539,0.000573874,-0.000573874,0.000835361,-0.000835361
3.7306415,3.632467,3.828816,0.0384181,0.000571488,-0.000571488,0.000719127,-0.000719127
3.926991,3.828816,4.025166,0.0317839,0.000569332,-0.000569332,0.000591266,-0.000591266
4.123340499999999,4.025166,4.221515,0.0227973,0.000565736,-0.000565736,0.000421653,-0.000421653
4.31969,4.221515,4.417865,0.0155715,0.000563577,-0.000563577,0.000287092,-0.000287092
4.5160395,4.417865,4.614214,0.0089698,0.000561175,-0.000561175,0.000166109,-0.000166109

#: FORWARD MULTIPLICITY CLASS [PCT],,,0-0.1
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,2-3
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
-1.5707965000000002,-1.668971,-1.472622,0.000464741,0.000837196,-0.000837196,1.36849e-05,-1.36849e-05
-1.374447,-1.472622,-1.276272,0.000534784,0.000590903,-0.000590903,1.54366e-05,-1.54366e-05
-1.1780970000000002,-1.276272,-1.079922,0.000288454,0.000591845,-0.000591845,8.24276e-06,-8.24276e-06
-0.9817475,-1.079922,-0.883573,0.00172144,0.000592445,-0.000592445,4.90721e-05,-4.90721e-05
-0.785398,-0.883573,-0.687223,0.000935484,0.000591968,-0.000591968,2.68256e-05,-2.68256e-05
-0.5890485,-0.687223,-0.490874,0.00330801,0.000595188,-0.000595188,9.56552e-05,-9.56552e-05
-0.392699,-0.490874,-0.294524,0.00542904,0.000598153,-0.000598153,0.000157687,-0.000157687
-0.1963495,-0.294524,-0.098175,0.00602329,0.000599024,-0.000599024,0.000173104,-0.000173104
0.0,-0.098175,0.098175,0.00735206,0.00060084,-0.00060084,0.000210867,-0.000210867
0.1963495,0.098175,0.294524,0.0085597,0.000606574,-0.000606574,0.000246861,-0.000246861
0.392699,0.294524,0.490874,0.00519365,0.000597456,-0.000597456,0.00015032,-0.00015032
0.5890485,0.490874,0.687223,0.004537,0.000598525,-0.000598525,0.000129927,-0.000129927
0.785398,0.687223,0.883573,0.00180442,0.000591977,-0.000591977,5.12129e-05,-5.12129e-05
0.9817475,0.883573,1.079922,0.000490122,0.000590306,-0.000590306,1.39264e-05,-1.39264e-05
1.1780970000000002,1.079922,1.276272,-0.000212068,0.000590606,-0.000590606,6.02482e-06,-6.02482e-06
1.374447,1.276272,1.472622,0.00161609,0.000592076,-0.000592076,4.59707e-05,-4.59707e-05
1.5707965000000002,1.472622,1.668971,0.00108551,0.000591808,-0.000591808,3.07594e-05,-3.07594e-05
1.7671459999999999,1.668971,1.865321,0.00436729,0.000597828,-0.000597828,0.000124179,-0.000124179
1.9634955,1.865321,2.06167,0.0083483,0.000604949,-0.000604949,0.000237506,-0.000237506
2.159845,2.06167,2.25802,0.0112653,0.000608219,-0.000608219,0.000322743,-0.000322743
2.3561945,2.25802,2.454369,0.0161805,0.000615509,-0.000615509,0.000467815,-0.000467815
2.552544,2.454369,2.650719,0.0197378,0.000623115,-0.000623115,0.000570828,-0.000570828
2.7488935000000003,2.650719,2.847068,0.0235199,0.000627467,-0.000627467,0.000683202,-0.000683202
2.945243,2.847068,3.043418,0.0263868,0.000632873,-0.000632873,0.000768478,-0.000768478
3.1415925,3.043418,3.239767,0.0284495,0.000634515,-0.000634515,0.000832717,-0.000832717
3.337942,3.239767,3.436117,0.0264979,0.000633353,-0.000633353,0.000764545,-0.000764545
3.5342919999999998,3.436117,3.632467,0.0242252,0.000628266,-0.000628266,0.000689576,-0.000689576
3.7306415,3.632467,3.828816,0.0191538,0.000621767,-0.000621767,0.000545758,-0.000545758
3.926991,3.828816,4.025166,0.01639,0.000616518,-0.000616518,0.000467089,-0.000467089
4.123340499999999,4.025166,4.221515,0.011667,0.000608656,-0.000608656,0.000333457,-0.000333457
4.31969,4.221515,4.417865,0.00871664,0.000604725,-0.000604725,0.000247264,-0.000247264
4.5160395,4.417865,4.614214,0.00350756,0.000594418,-0.000594418,9.98412e-05,-9.98412e-05

#: FORWARD MULTIPLICITY CLASS [PCT],,,0-0.1
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,3-4
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
-1.5707965000000002,-1.668971,-1.472622,0.000847949,0.000874245,-0.000874245,2.98315e-05,-2.98315e-05
-1.374447,-1.472622,-1.276272,-0.000334491,0.000603279,-0.000603279,1.25111e-05,-1.25111e-05
-1.1780970000000002,-1.276272,-1.079922,0.000287264,0.000618936,-0.000618936,1.09981e-05,-1.09981e-05
