phi,Ridge,Jet
-1.1781,0.00150312,0
-1.15454,0.00155623,0
-1.13097,0.00161096,0
-1.10741,0.00166731,0
-1.08385,0.00172526,0
-1.06029,0.00178482,0
-1.03673,0.00184597,1.38684e-319
-1.01316,0.00190869,2.19871e-315
-0.989601,0.00197294,2.78852e-311
-0.96604,0.00203869,2.83161e-307
-0.942478,0.0021059,2.30223e-303
-0.918916,0.00217452,1.49871e-299
-0.895354,0.00224448,7.81165e-296
-0.871792,0.00231571,3.26003e-292
-0.84823,0.00238814,1.08932e-288
-0.824668,0.00246168,2.91436e-285
-0.801106,0.00253623,6.2429e-282
-0.777544,0.00261167,1.07074e-278
-0.753982,0.0026879,1.4704e-275
-0.73042,0.00276478,1.61675e-272
-0.706858,0.00284216,1.42332e-269
-0.683296,0.00291991,1.00327e-266
-0.659734,0.00299786,5.6622e-264
-0.636172,0.00307583,2.55864e-261
-0.61261,0.00315366,9.25733e-259
-0.589048,0.00323115,2.68174e-256
-0.565487,0.0033081,6.22017e-254
-0.541925,0.00338431,1.15516e-251
-0.518363,0.00345957,1.71765e-249
-0.494801,0.00353365,2.04494e-247
-0.471239,0.00360634,1.94932e-245
-0.447677,0.00367741,1.48777e-243
-0.424115,0.00374663,9.09171e-242
-0.400553,0.00381376,4.44844e-240
-0.376991,0.00387859,1.74271e-238
-0.353429,0.00394086,5.4663e-237
-0.329867,0.00400037,1.37283e-235
-0.306305,0.00405689,2.76054e-234
-0.282743,0.00411021,4.44452e-233
-0.259181,0.00416011,5.7294e-232
-0.235619,0.0042064,5.91354e-231
-0.212057,0.00424889,4.88696e-230
-0.188496,0.0042874,3.23358e-229
-0.164934,0.00432178,1.7131e-228
-0.141372,0.00435189,7.26666e-228
-0.11781,0.00437759,2.46797e-227
-0.0942478,0.00439877,6.71119e-227
-0.0706858,0.00441534,1.46121e-226
-0.0471239,0.00442723,2.54729e-226
-0.0235619,0.00443438,3.55548e-226
2.15106e-16,0.00443677,3.97349e-226
0.0235619,0.00443438,3.55548e-226
0.0471239,0.00442723,2.54729e-226
0.0706858,0.00441534,1.46121e-226
0.0942478,0.00439877,6.71119e-227
0.11781,0.00437759,2.46797e-227
0.141372,0.00435189,7.26666e-228
0.164934,0.00432178,1.7131e-228
0.188496,0.0042874,3.23358e-229
0.212057,0.00424889,4.88696e-230
0.235619,0.0042064,5.91354e-231
0.259181,0.00416011,5.7294e-232
0.282743,0.00411021,4.44452e-233
0.306305,0.00405689,2.76054e-234
0.329867,0.00400037,1.37283e-235
0.353429,0.00394086,5.4663e-237
0.376991,0.00387859,1.74271e-238
0.400553,0.00381376,4.44844e-240
0.424115,0.00374663,9.09171e-242
0.447677,0.00367741,1.48777e-243
0.471239,0.00360634,1.94932e-245
0.494801,0.00353365,2.04494e-247
0.518363,0.00345957,1.71765e-249
0.541925,0.00338431,1.15516e-251
0.565487,0.0033081,6.22017e-254
0.589049,0.00323115,2.68174e-256
0.61261,0.00315366,9.25733e-259
0.636172,0.00307583,2.55864e-261
0.659734,0.00299786,5.6622e-264
0.683296,0.00291991,1.00327e-266
0.706858,0.00284216,1.42332e-269
0.73042,0.00276478,1.61675e-272
0.753982,0.0026879,1.4704e-275
0.777544,0.00261167,1.07074e-278
0.801106,0.00253623,6.2429e-282
0.824668,0.00246168,2.91436e-285
0.84823,0.00238814,1.08932e-288
0.871792,0.00231571,3.26003e-292
0.895354,0.00224448,7.81165e-296
0.918916,0.00217452,1.49871e-299
0.942478,0.0021059,2.30223e-303
0.96604,0.00203869,2.83161e-307
0.989601,0.00197294,2.78852e-311
1.01316,0.00190869,2.19871e-315
1.03673,0.00184597,1.38684e-319
1.06029,0.00178482,0
1.08385,0.00172526,0
1.10741,0.00166731,0
1.13097,0.00161096,0
1.15454,0.00155623,0
1.1781,0.00150312,0
