@type xydy
 -0.851685  0.030628  0.018896
 -0.541573  0.024223  0.059518
 -0.231461  0.085477  0.088399
  0.092135  0.170986  0.091763
  0.402247  0.029262  0.073208
  0.71236  0.008815  0.035071
  1.035955 -0.060144  0.008576
  1.346067  0.084089  0.042199
  1.65618  0.15428  0.04817
  1.979775  0.179789  0.022546
  2.289888  0.249979  0.018348
  2.6  0.163149  0.060582
  2.910112  0.179723  0.088385
  3.233708  0.157998  0.090932
  3.54382  0.169465  0.071728
  3.853933  0.23072  0.033245
  4.177528  0.206441  0.006562
  4.48764  0.148973  0.04231
  4.797753  0.083844  0.04885
  5.107865  0.040418  0.022246
&
