  -0.836134  0.013453       
  -0.546218  0.058461       
  -0.218487  0.070367       
  0.096639  0.104514       
  0.399160  0.059523       
  0.714286  -0.002537       
  1.042017  -0.003562       
  1.357143  0.042482       
  1.672269  0.060077       
  1.987395  0.051293       
  2.302521  0.063716       
  2.605042  0.047173       
  2.920168  0.063216       
  3.247899  0.057019       
  3.550420  0.085476       
  3.865546  0.079795       
  4.193277  0.067908       
  4.508403  0.053951       
  4.810924  0.034822       
  5.138655  0.019832       

