   -0.851351   0.049524       
   -0.554054   0.083741       
   -0.216216   0.173876       
   0.094595   0.262749       
   0.405405   0.102470       
   0.716216   0.043886       
   1.040541   -0.051568       
   1.351351   0.126288       
   1.662162   0.202450       
   1.986486   0.202335       
   2.297297   0.268327       
   2.594595   0.223731       
   2.918919   0.268108       
   3.229730   0.248930       
   3.540541   0.241193       
   3.851351   0.263965       
   4.175676   0.213003       
   4.486486   0.191283       
   4.810811   0.132694       
   5.135135   0.062664          
