   -0.851685   0.030628          
   -0.541573   0.024223          
   -0.231461   0.085477          
   0.092135   0.170986          
   0.402247   0.029262          
   0.712360   0.008815          
   1.035955   -0.060144          
   1.346067   0.084089          
   1.656180   0.154280          
   1.979775   0.179789          
   2.289888   0.249979          
   2.600000   0.163149          
   2.910112   0.179723          
   3.233708   0.157998          
   3.543820   0.169465          
   3.853933   0.230720          
   4.177528   0.206441          
   4.487640   0.148973          
   4.797753   0.083844          
   5.107865   0.040418          
