pt,dN/detadpt_Ridge,dN/detadpt_Jet
5.7345,0.000250547,3.18944e-05
5.764,0.000243964,3.03647e-05
5.7935,0.000237561,2.89083e-05
5.823,0.000231333,2.75217e-05
5.8525,0.000225274,2.62016e-05
5.882,0.000219379,2.49449e-05
5.9115,0.000213645,2.37484e-05
5.941,0.000208066,2.26093e-05
5.9705,0.000202638,2.15249e-05
6,0.000197357,2.04925e-05
