pt,dN/detadpt_Ridge,dN/detadpt_Jet
5.7345,0.000250547,2.39208e-05
5.764,0.000243964,2.27735e-05
5.7935,0.000237561,2.16812e-05
5.823,0.000231333,2.06413e-05
5.8525,0.000225274,1.96512e-05
5.882,0.000219379,1.87087e-05
5.9115,0.000213645,1.78113e-05
5.941,0.000208066,1.6957e-05
5.9705,0.000202638,1.61437e-05
6,0.000197357,1.53693e-05
