Multiplicity,F,G,v_22
90,2.5563327220752505,4.217708339645847,0.004198575390114073,13TeV
130,2.9980585368436565,6.111789855692136,0.0038449431362972833,13TeV
125,2.7054875994619536,5.417144921196683,0.003967933578501866,13TeV
115,2.6617088227872285,4.891755465617794,0.003958106915645837,13TeV
105,2.575909405059938,4.3845961806079226,0.004053556558649613,13TeV
95,2.494321957178845,3.875079203837865,0.004338905367260265,13TeV
