Multiplicity,F,G,v_22
90,3.842964832826456,3.5800721973911185,0.007026623570833567,13TeV
130,7.084132355801044e-06,7.585933376974148,0.002227295967916481,13TeV
125,2.252818506985127e-16,6.747507867633086,0.0024702154939150013,13TeV
115,4.880501311102858,3.793532103768328,0.008148955318230915,13TeV
105,6.683312716084836,2.355039471035038,0.015052176703185007,13TeV
95,4.341630930537974,2.961456551229058,0.008676645445870997,13TeV
