ptf,yi,yf,cosh(yf)/cosh(yi)
0.15,2.99123,2.68888,0.740622
0.15385,2.99117,2.70041,0.749183
0.1577,2.9911,2.71136,0.757404
0.16155,2.99104,2.72176,0.7653
0.1654,2.99097,2.73164,0.772885
0.16925,2.99091,2.74103,0.780173
0.1731,2.99084,2.74998,0.787176
0.17695,2.99077,2.75849,0.793906
0.1808,2.9907,2.7666,0.800376
0.18465,2.99063,2.77434,0.806597
0.1885,2.99056,2.78171,0.812581
0.19235,2.99049,2.78875,0.818337
0.1962,2.99042,2.79548,0.823875
0.20005,2.99034,2.8019,0.829206
0.2039,2.99027,2.80804,0.834339
0.20775,2.99019,2.81392,0.839282
0.2116,2.99012,2.81954,0.844043
0.21545,2.99004,2.82492,0.848632
0.2193,2.98996,2.83008,0.853055
0.22315,2.98988,2.83502,0.857319
0.227,2.98981,2.83976,0.861432
0.23085,2.98973,2.84431,0.865401
0.2347,2.98964,2.84868,0.869231
0.23855,2.98956,2.85287,0.872929
0.2424,2.98948,2.85689,0.8765
0.24625,2.98939,2.86076,0.879949
0.2501,2.98931,2.86448,0.883283
0.25395,2.98922,2.86806,0.886506
0.2578,2.98914,2.87151,0.889623
0.26165,2.98905,2.87482,0.892637
0.2655,2.98896,2.87802,0.895555
0.26935,2.98887,2.8811,0.898379
0.2732,2.98878,2.88406,0.901113
0.27705,2.98868,2.88692,0.903762
0.2809,2.98859,2.88968,0.906328
0.28475,2.98849,2.89234,0.908816
0.2886,2.9884,2.89492,0.911228
0.29245,2.9883,2.8974,0.913568
0.2963,2.9882,2.8998,0.915838
0.30015,2.9881,2.90211,0.918041
0.304,2.988,2.90435,0.92018
0.30785,2.9879,2.90652,0.922258
0.3117,2.98779,2.90862,0.924277
0.31555,2.98769,2.91064,0.926239
0.3194,2.98758,2.91261,0.928146
0.32325,2.98747,2.91451,0.930001
0.3271,2.98736,2.91635,0.931806
0.33095,2.98725,2.91813,0.933562
0.3348,2.98714,2.91986,0.935272
0.33865,2.98703,2.92153,0.936937
0.3425,2.98691,2.92316,0.93856
0.34635,2.9868,2.92473,0.940141
0.3502,2.98668,2.92626,0.941682
0.35405,2.98656,2.92775,0.943185
0.3579,2.98644,2.92919,0.944651
0.36175,2.98631,2.93059,0.946082
0.3656,2.98619,2.93195,0.947478
0.36945,2.98606,2.93327,0.948842
0.3733,2.98593,2.93455,0.950174
0.37715,2.9858,2.9358,0.951476
0.381,2.98567,2.93701,0.952749
0.38485,2.98554,2.93819,0.953993
0.3887,2.9854,2.93933,0.955211
0.39255,2.98526,2.94045,0.956402
0.3964,2.98513,2.94153,0.957568
0.40025,2.98498,2.94259,0.95871
0.4041,2.98484,2.94362,0.959828
0.40795,2.98469,2.94462,0.960924
0.4118,2.98455,2.9456,0.961999
0.41565,2.9844,2.94655,0.963052
0.4195,2.98425,2.94748,0.964086
0.42335,2.98409,2.94838,0.9651
0.4272,2.98394,2.94926,0.966095
0.43105,2.98378,2.95012,0.967073
0.4349,2.98362,2.95095,0.968034
0.43875,2.98345,2.95177,0.968977
0.4426,2.98329,2.95257,0.969906
0.44645,2.98312,2.95335,0.970818
0.4503,2.98295,2.9541,0.971716
0.45415,2.98277,2.95484,0.9726
0.458,2.9826,2.95557,0.97347
0.46185,2.98242,2.95627,0.974327
0.4657,2.98224,2.95696,0.975172
0.46955,2.98205,2.95764,0.976005
0.4734,2.98187,2.95829,0.976826
0.47725,2.98168,2.95894,0.977636
0.4811,2.98148,2.95957,0.978435
0.48495,2.98129,2.96018,0.979224
0.4888,2.98109,2.96078,0.980004
0.49265,2.98088,2.96137,0.980774
0.4965,2.98068,2.96194,0.981536
0.50035,2.98047,2.96251,0.982289
0.5042,2.98026,2.96305,0.983033
0.50805,2.98004,2.96359,0.983771
0.5119,2.97982,2.96412,0.984501
0.51575,2.9796,2.96463,0.985224
0.5196,2.97937,2.96514,0.985941
0.52345,2.97914,2.96563,0.986651
0.5273,2.97891,2.96612,0.987356
0.53115,2.97867,2.96659,0.988055
0.535,2.97843,2.96705,0.988749
0.53885,2.97818,2.96751,0.989438
0.5427,2.97793,2.96795,0.990123
0.54655,2.97767,2.96839,0.990804
0.5504,2.97741,2.96881,0.991481
0.55425,2.97715,2.96923,0.992154
0.5581,2.97688,2.96964,0.992825
0.56195,2.97661,2.97004,0.993492
0.5658,2.97633,2.97044,0.994157
0.56965,2.97605,2.97083,0.99482
0.5735,2.97576,2.97121,0.99548
0.57735,2.97547,2.97158,0.99614
0.5812,2.97517,2.97194,0.996797
0.58505,2.97486,2.9723,0.997454
0.5889,2.97455,2.97265,0.99811
0.59275,2.97424,2.973,0.998766
0.5966,2.97392,2.97333,0.999421
0.60045,2.97359,2.97367,1.00008
0.6043,2.97326,2.97399,1.00073
0.60815,2.97292,2.97431,1.00139
0.612,2.97257,2.97463,1.00205
0.61585,2.97222,2.97493,1.00271
0.6197,2.97186,2.97524,1.00337
0.62355,2.97149,2.97553,1.00403
0.6274,2.97112,2.97583,1.0047
0.63125,2.97074,2.97611,1.00536
0.6351,2.97035,2.9764,1.00603
0.63895,2.96995,2.97667,1.00671
0.6428,2.96955,2.97694,1.00739
0.64665,2.96914,2.97721,1.00807
0.6505,2.96871,2.97748,1.00875
0.65435,2.96829,2.97773,1.00944
0.6582,2.96785,2.97799,1.01014
0.66205,2.9674,2.97824,1.01084
0.6659,2.96694,2.97848,1.01154
0.66975,2.96648,2.97872,1.01226
0.6736,2.966,2.97896,1.01297
0.67745,2.96552,2.9792,1.0137
0.6813,2.96502,2.97943,1.01443
0.68515,2.96451,2.97965,1.01517
0.689,2.964,2.97987,1.01592
0.69285,2.96347,2.98009,1.01667
0.6967,2.96293,2.98031,1.01744
0.70055,2.96237,2.98052,1.01821
0.7044,2.96181,2.98073,1.019
0.70825,2.96123,2.98093,1.01979
0.7121,2.96064,2.98113,1.02059
0.71595,2.96004,2.98133,1.02141
0.7198,2.95942,2.98153,1.02223
0.72365,2.95879,2.98172,1.02307
0.7275,2.95814,2.98191,1.02392
0.73135,2.95748,2.9821,1.02479
0.7352,2.9568,2.98228,1.02567
0.73905,2.95611,2.98246,1.02656
0.7429,2.9554,2.98264,1.02747
0.74675,2.95467,2.98281,1.02839
0.7506,2.95393,2.98299,1.02933
0.75445,2.95317,2.98316,1.03028
0.7583,2.95238,2.98333,1.03126
0.76215,2.95158,2.98349,1.03225
0.766,2.95076,2.98365,1.03326
0.76985,2.94992,2.98381,1.03429
0.7737,2.94906,2.98397,1.03534
0.77755,2.94817,2.98413,1.03642
