ptf,yi,yf,cosh(yf)/cosh(yi)
0.76215,1.36801,1.48509,1.10993
0.766,1.36429,1.48524,1.1137
0.76985,1.36043,1.48539,1.11763
0.7737,1.35641,1.48553,1.12172
0.77755,1.35222,1.48567,1.12598
0.7814,1.34785,1.48581,1.13042
0.78525,1.3433,1.48594,1.13506
0.7891,1.33856,1.48608,1.13991
0.79295,1.33361,1.48621,1.14496
0.7968,1.32844,1.48634,1.15025
0.80065,1.32305,1.48647,1.15579
0.8045,1.31742,1.4866,1.16158
0.80835,1.31153,1.48672,1.16764
0.8122,1.30537,1.48685,1.174
0.81605,1.29893,1.48697,1.18067
0.8199,1.29219,1.48709,1.18767
0.82375,1.28514,1.48721,1.19501
0.8276,1.27774,1.48732,1.20274
0.83145,1.26999,1.48744,1.21085
0.8353,1.26187,1.48755,1.2194
0.83915,1.25335,1.48767,1.22839
0.843,1.2444,1.48778,1.23787
0.84685,1.23501,1.48789,1.24786
0.8507,1.22514,1.48799,1.25841
0.85455,1.21477,1.4881,1.26954
0.8584,1.20386,1.4882,1.28129
0.86225,1.19238,1.48831,1.29372
0.8661,1.18031,1.48841,1.30687
0.86995,1.16759,1.48851,1.32078
0.8738,1.15419,1.48861,1.33551
0.87765,1.14008,1.48871,1.35112
0.8815,1.1252,1.48881,1.36766
0.88535,1.1095,1.4889,1.38521
0.8892,1.09294,1.489,1.40382
0.89305,1.07547,1.48909,1.42357
0.8969,1.05702,1.48918,1.44454
0.90075,1.03754,1.48927,1.4668
0.9046,1.01697,1.48936,1.49043
0.90845,0.995234,1.48945,1.5155
0.9123,0.972275,1.48954,1.54211
0.91615,0.948019,1.48963,1.57033
0.92,0.922393,1.48971,1.60023
0.92385,0.895323,1.4898,1.63187
0.9277,0.866732,1.48988,1.66532
0.93155,0.836544,1.48996,1.70059
0.9354,0.804684,1.49004,1.73771
0.93925,0.771078,1.49013,1.77664
0.9431,0.735658,1.4902,1.81732
0.94695,0.698358,1.49028,1.85962
0.9508,0.659125,1.49036,1.90335
0.95465,0.617916,1.49044,1.94823
0.9585,0.574702,1.49051,1.99388
0.96235,0.529476,1.49059,2.03981
0.9662,0.482254,1.49066,2.08539
0.97005,0.433081,1.49074,2.1299
0.9739,0.382035,1.49081,2.17246
0.97775,0.329233,1.49088,2.21211
0.9816,0.274829,1.49095,2.24781
0.98545,0.219023,1.49102,2.27851
0.9893,0.162051,1.49109,2.30322
0.99315,0.104189,1.49116,2.32106
0.997,0.0457414,1.49122,2.33137
1.00085,0.012967,1.49129,2.33376
1.0047,0.0716013,1.49136,2.32812
1.00855,0.12983,1.49142,2.3147
1.0124,0.187334,1.49149,2.294
1.01625,0.243823,1.49155,2.26679
1.0201,0.299037,1.49161,2.234
1.02395,0.352756,1.49168,2.19667
1.0278,0.404799,1.49174,2.15584
1.03165,0.45503,1.4918,2.11252
1.0355,0.503349,1.49186,2.06765
1.03935,0.549694,1.49192,2.02202
1.0432,0.594031,1.49198,1.97633
1.04705,0.636358,1.49204,1.93114
1.0509,0.67669,1.49209,1.88689
1.05475,0.715063,1.49215,1.84392
1.0586,0.751526,1.49221,1.80247
1.06245,0.786137,1.49226,1.76269
1.0663,0.818963,1.49232,1.72469
1.07015,0.850075,1.49237,1.68852
1.074,0.879548,1.49243,1.65418
1.07785,0.907459,1.49248,1.62166
1.0817,0.933882,1.49253,1.59092
1.08555,0.958894,1.49259,1.56189
1.0894,0.982568,1.49264,1.53451
1.09325,1.00498,1.49269,1.5087
1.0971,1.02619,1.49274,1.48439
1.10095,1.04627,1.49279,1.46149
1.1048,1.06529,1.49284,1.43993
1.10865,1.0833,1.49289,1.41962
1.1125,1.10036,1.49294,1.40049
1.11635,1.11653,1.49299,1.38247
1.1202,1.13186,1.49303,1.36549
