pt,Ridge,Jet
8.75767,8.95288e-06,0
8.79383,8.65025e-06,0
8.83,8.35799e-06,0
8.86617,8.07575e-06,0
8.90233,7.80318e-06,0
8.9385,7.53994e-06,0
8.97467,7.28571e-06,0
9.01083,7.04017e-06,0
9.047,6.80303e-06,0
9.08317,6.57399e-06,0
9.11933,6.35276e-06,0
9.1555,6.13908e-06,0
9.19167,5.93269e-06,0
9.22783,5.73333e-06,0
9.264,5.54076e-06,0
9.30017,5.35475e-06,0
9.33633,5.17506e-06,0
9.3725,5.00149e-06,0
9.40867,4.83381e-06,0
9.44483,4.67183e-06,0
9.481,4.51535e-06,0
9.51717,4.36417e-06,0
9.55333,4.21812e-06,0
9.5895,4.07702e-06,0
9.62567,3.9407e-06,0
9.66183,3.809e-06,0
9.698,3.68175e-06,0
9.73417,3.55881e-06,0
9.77033,3.44002e-06,0
9.8065,3.32525e-06,0
9.84267,3.21435e-06,0
9.87883,3.1072e-06,0
9.915,3.00366e-06,0
9.95117,2.90361e-06,0
9.98733,2.80693e-06,0
10.0235,2.71351e-06,0
10.0597,2.62324e-06,0
10.0958,2.536e-06,0
10.132,2.4517e-06,0
10.1682,2.37023e-06,0
10.2043,2.2915e-06,0
10.2405,2.21542e-06,0
10.2767,2.14189e-06,0
10.3128,2.07083e-06,0
10.349,2.00215e-06,0
10.3852,1.93577e-06,0
10.4213,1.87162e-06,0
10.4575,1.80962e-06,0
10.4937,1.74969e-06,0
10.5298,1.69177e-06,0
10.566,1.63579e-06,0
10.6022,1.58168e-06,0
10.6383,1.52938e-06,0
10.6745,1.47883e-06,0
10.7107,1.42996e-06,0
10.7468,1.38273e-06,0
10.783,1.33707e-06,0
10.8192,1.29294e-06,0
10.8553,1.25028e-06,0
10.8915,1.20904e-06,0
10.9277,1.16917e-06,0
10.9638,1.13063e-06,0
11,1.09338e-06,0
