pt, N_Rdige_dis
3.040000, 0.027110
3.050000, 0.026426
3.060000, 0.025760
3.070000, 0.025112
3.080000, 0.024480
3.090000, 0.023865
3.100000, 0.023266
3.110000, 0.022682
3.120000, 0.022114
3.130000, 0.021560
3.140000, 0.021021
3.150000, 0.020495
3.160000, 0.019983
3.170000, 0.019485
3.180000, 0.018999
3.190000, 0.018526
3.200000, 0.018065
3.210000, 0.017615
3.220000, 0.017178
3.230000, 0.016751
3.240000, 0.016336
3.250000, 0.015931
3.260000, 0.015536
3.270000, 0.015152
3.280000, 0.014777
3.290000, 0.014412
3.300000, 0.014057
3.310000, 0.013710
3.320000, 0.013372
3.330000, 0.013043
3.340000, 0.012722
3.350000, 0.012409
3.360000, 0.012104
3.370000, 0.011807
3.380000, 0.011517
3.390000, 0.011235
3.400000, 0.010960
3.410000, 0.010692
3.420000, 0.010430
3.430000, 0.010175
3.440000, 0.009927
3.450000, 0.009684
3.460000, 0.009448
3.470000, 0.009218
3.480000, 0.008994
3.490000, 0.008775
3.500000, 0.008561
3.510000, 0.008353
3.520000, 0.008150
3.530000, 0.007953
3.540000, 0.007760
3.550000, 0.007572
3.560000, 0.007388
3.570000, 0.007210
3.580000, 0.007035
3.590000, 0.006865
3.600000, 0.006699
3.610000, 0.006538
3.620000, 0.006380
3.630000, 0.006226
3.640000, 0.006076
3.650000, 0.005930
3.660000, 0.005787
3.670000, 0.005648
3.680000, 0.005513
3.690000, 0.005380
3.700000, 0.005251
3.710000, 0.005125
3.720000, 0.005002
3.730000, 0.004883
3.740000, 0.004766
3.750000, 0.004652
3.760000, 0.004540
3.770000, 0.004432
3.780000, 0.004326
3.790000, 0.004223
3.800000, 0.004122
3.810000, 0.004024
3.820000, 0.003928
3.830000, 0.003834
3.840000, 0.003743
3.850000, 0.003654
3.860000, 0.003567
3.870000, 0.003483
3.880000, 0.003400
3.890000, 0.003319
3.900000, 0.003241
3.910000, 0.003164
3.920000, 0.003089
3.930000, 0.003016
3.940000, 0.002944
3.950000, 0.002875
3.960000, 0.002807
3.970000, 0.002740
3.980000, 0.002676
3.990000, 0.002613
4.000000, 0.002551
