pt, Njetdis
1.620000, 0.132506
1.630000, 0.130130
1.640000, 0.127797
1.650000, 0.125505
1.660000, 0.123253
1.670000, 0.121042
1.680000, 0.118871
1.690000, 0.116738
1.700000, 0.114643
1.710000, 0.112586
1.720000, 0.110566
1.730000, 0.108581
1.740000, 0.106632
1.750000, 0.104718
1.760000, 0.102839
1.770000, 0.100992
1.780000, 0.099179
1.790000, 0.097398
1.800000, 0.095650
1.810000, 0.093932
1.820000, 0.092245
1.830000, 0.090589
1.840000, 0.088962
1.850000, 0.087364
1.860000, 0.085795
1.870000, 0.084254
1.880000, 0.082740
1.890000, 0.081254
1.900000, 0.079794
1.910000, 0.078360
1.920000, 0.076953
1.930000, 0.075570
1.940000, 0.074212
1.950000, 0.072879
1.960000, 0.071569
1.970000, 0.070283
1.980000, 0.069020
1.990000, 0.067780
2.000000, 0.066562
2.010000, 0.065365
2.020000, 0.064191
2.030000, 0.063037
2.040000, 0.061904
2.050000, 0.060791
2.060000, 0.059698
2.070000, 0.058625
2.080000, 0.057571
2.090000, 0.056537
2.100000, 0.055520
2.110000, 0.054522
2.120000, 0.053542
2.130000, 0.052579
2.140000, 0.051634
2.150000, 0.050706
2.160000, 0.049794
2.170000, 0.048899
2.180000, 0.048020
2.190000, 0.047156
2.200000, 0.046308
2.210000, 0.045476
2.220000, 0.044658
2.230000, 0.043855
2.240000, 0.043066
2.250000, 0.042292
2.260000, 0.041531
2.270000, 0.040784
2.280000, 0.040051
2.290000, 0.039331
2.300000, 0.038623
2.310000, 0.037929
2.320000, 0.037246
2.330000, 0.036577
2.340000, 0.035919
2.350000, 0.035273
2.360000, 0.034638
2.370000, 0.034015
2.380000, 0.033403
2.390000, 0.032803
2.400000, 0.032213
2.410000, 0.031633
2.420000, 0.031064
2.430000, 0.030505
2.440000, 0.029957
2.450000, 0.029418
2.460000, 0.028889
2.470000, 0.028369
2.480000, 0.027859
2.490000, 0.027357
2.500000, 0.026865
2.510000, 0.026382
2.520000, 0.025907
2.530000, 0.025441
2.540000, 0.024984
2.550000, 0.024534
2.560000, 0.024093
2.570000, 0.023659
2.580000, 0.023234
2.590000, 0.022816
2.600000, 0.022405
2.610000, 0.022002
2.620000, 0.021606
2.630000, 0.021217
2.640000, 0.020836
2.650000, 0.020461
2.660000, 0.020093
2.670000, 0.019731
2.680000, 0.019376
2.690000, 0.019027
2.700000, 0.018685
2.710000, 0.018349
2.720000, 0.018019
2.730000, 0.017694
2.740000, 0.017376
2.750000, 0.017063
2.760000, 0.016756
2.770000, 0.016455
2.780000, 0.016159
2.790000, 0.015868
2.800000, 0.015582
2.810000, 0.015302
2.820000, 0.015027
2.830000, 0.014756
2.840000, 0.014491
2.850000, 0.014230
