pt, N_Rdige_dis
3.040000, 0.004884
3.050000, 0.004763
3.060000, 0.004646
3.070000, 0.004531
3.080000, 0.004419
3.090000, 0.004310
3.100000, 0.004204
3.110000, 0.004100
3.120000, 0.003999
3.130000, 0.003901
3.140000, 0.003805
3.150000, 0.003712
3.160000, 0.003620
3.170000, 0.003532
3.180000, 0.003445
3.190000, 0.003361
3.200000, 0.003278
3.210000, 0.003198
3.220000, 0.003120
3.230000, 0.003043
3.240000, 0.002969
3.250000, 0.002897
3.260000, 0.002826
3.270000, 0.002757
3.280000, 0.002690
3.290000, 0.002624
3.300000, 0.002560
3.310000, 0.002498
3.320000, 0.002437
3.330000, 0.002378
3.340000, 0.002320
3.350000, 0.002264
3.360000, 0.002209
3.370000, 0.002155
3.380000, 0.002103
3.390000, 0.002052
3.400000, 0.002002
3.410000, 0.001954
3.420000, 0.001907
3.430000, 0.001861
3.440000, 0.001816
3.450000, 0.001772
3.460000, 0.001729
3.470000, 0.001687
3.480000, 0.001647
3.490000, 0.001607
3.500000, 0.001568
3.510000, 0.001530
3.520000, 0.001494
3.530000, 0.001458
3.540000, 0.001423
3.550000, 0.001388
3.560000, 0.001355
3.570000, 0.001323
3.580000, 0.001291
3.590000, 0.001260
3.600000, 0.001230
3.610000, 0.001200
3.620000, 0.001172
3.630000, 0.001143
3.640000, 0.001116
3.650000, 0.001089
3.660000, 0.001063
3.670000, 0.001038
3.680000, 0.001013
3.690000, 0.000989
3.700000, 0.000965
3.710000, 0.000942
3.720000, 0.000920
3.730000, 0.000898
3.740000, 0.000877
3.750000, 0.000856
3.760000, 0.000835
3.770000, 0.000816
3.780000, 0.000796
3.790000, 0.000777
3.800000, 0.000759
3.810000, 0.000741
3.820000, 0.000723
3.830000, 0.000706
3.840000, 0.000689
3.850000, 0.000673
3.860000, 0.000657
3.870000, 0.000641
3.880000, 0.000626
3.890000, 0.000611
3.900000, 0.000597
3.910000, 0.000583
3.920000, 0.000569
3.930000, 0.000556
3.940000, 0.000543
3.950000, 0.000530
3.960000, 0.000517
3.970000, 0.000505
3.980000, 0.000493
3.990000, 0.000482
4.000000, 0.000470
