pt, N_Rdige_dis
3.040000, 0.008199
3.050000, 0.007992
3.060000, 0.007791
3.070000, 0.007595
3.080000, 0.007404
3.090000, 0.007218
3.100000, 0.007037
3.110000, 0.006860
3.120000, 0.006688
3.130000, 0.006521
3.140000, 0.006358
3.150000, 0.006199
3.160000, 0.006044
3.170000, 0.005893
3.180000, 0.005746
3.190000, 0.005603
3.200000, 0.005463
3.210000, 0.005328
3.220000, 0.005195
3.230000, 0.005066
3.240000, 0.004941
3.250000, 0.004818
3.260000, 0.004699
3.270000, 0.004583
3.280000, 0.004469
3.290000, 0.004359
3.300000, 0.004251
3.310000, 0.004146
3.320000, 0.004044
3.330000, 0.003945
3.340000, 0.003848
3.350000, 0.003753
3.360000, 0.003661
3.370000, 0.003571
3.380000, 0.003483
3.390000, 0.003398
3.400000, 0.003315
3.410000, 0.003234
3.420000, 0.003155
3.430000, 0.003077
3.440000, 0.003002
3.450000, 0.002929
3.460000, 0.002858
3.470000, 0.002788
3.480000, 0.002720
3.490000, 0.002654
3.500000, 0.002589
3.510000, 0.002526
3.520000, 0.002465
3.530000, 0.002405
3.540000, 0.002347
3.550000, 0.002290
3.560000, 0.002235
3.570000, 0.002181
3.580000, 0.002128
3.590000, 0.002076
3.600000, 0.002026
3.610000, 0.001977
3.620000, 0.001930
3.630000, 0.001883
3.640000, 0.001838
3.650000, 0.001794
3.660000, 0.001750
3.670000, 0.001708
3.680000, 0.001667
3.690000, 0.001627
3.700000, 0.001588
3.710000, 0.001550
3.720000, 0.001513
3.730000, 0.001477
3.740000, 0.001441
3.750000, 0.001407
3.760000, 0.001373
3.770000, 0.001340
3.780000, 0.001308
3.790000, 0.001277
3.800000, 0.001247
3.810000, 0.001217
3.820000, 0.001188
3.830000, 0.001160
3.840000, 0.001132
3.850000, 0.001105
3.860000, 0.001079
3.870000, 0.001053
3.880000, 0.001028
3.890000, 0.001004
3.900000, 0.000980
3.910000, 0.000957
3.920000, 0.000934
3.930000, 0.000912
3.940000, 0.000890
3.950000, 0.000869
3.960000, 0.000849
3.970000, 0.000829
3.980000, 0.000809
3.990000, 0.000790
4.000000, 0.000772
