pt, N_Rdige_dis
3.040000, 0.315972
3.050000, 0.308067
3.060000, 0.300383
3.070000, 0.292913
3.080000, 0.285650
3.090000, 0.278588
3.100000, 0.271720
3.110000, 0.265041
3.120000, 0.258544
3.130000, 0.252225
3.140000, 0.246076
3.150000, 0.240094
3.160000, 0.234274
3.170000, 0.228609
3.180000, 0.223097
3.190000, 0.217731
3.200000, 0.212508
3.210000, 0.207424
3.220000, 0.202474
3.230000, 0.197655
3.240000, 0.192962
3.250000, 0.188392
3.260000, 0.183942
3.270000, 0.179607
3.280000, 0.175385
3.290000, 0.171272
3.300000, 0.167265
3.310000, 0.163361
3.320000, 0.159557
3.330000, 0.155850
3.340000, 0.152238
3.350000, 0.148718
3.360000, 0.145287
3.370000, 0.141943
3.380000, 0.138683
3.390000, 0.135505
3.400000, 0.132407
3.410000, 0.129386
3.420000, 0.126441
3.430000, 0.123569
3.440000, 0.120768
3.450000, 0.118037
3.460000, 0.115372
3.470000, 0.112774
3.480000, 0.110239
3.490000, 0.107767
3.500000, 0.105354
3.510000, 0.103001
3.520000, 0.100705
3.530000, 0.098464
3.540000, 0.096278
3.550000, 0.094145
3.560000, 0.092062
3.570000, 0.090030
3.580000, 0.088047
3.590000, 0.086111
3.600000, 0.084221
3.610000, 0.082376
3.620000, 0.080575
3.630000, 0.078817
3.640000, 0.077100
3.650000, 0.075423
3.660000, 0.073786
3.670000, 0.072188
3.680000, 0.070627
3.690000, 0.069102
3.700000, 0.067613
3.710000, 0.066159
3.720000, 0.064738
3.730000, 0.063350
3.740000, 0.061995
3.750000, 0.060671
3.760000, 0.059377
3.770000, 0.058113
3.780000, 0.056878
3.790000, 0.055671
3.800000, 0.054491
3.810000, 0.053339
3.820000, 0.052213
3.830000, 0.051112
3.840000, 0.050037
3.850000, 0.048985
3.860000, 0.047958
3.870000, 0.046953
3.880000, 0.045971
3.890000, 0.045011
3.900000, 0.044073
3.910000, 0.043156
3.920000, 0.042259
3.930000, 0.041382
3.940000, 0.040524
3.950000, 0.039686
3.960000, 0.038866
3.970000, 0.038064
3.980000, 0.037280
3.990000, 0.036513
4.000000, 0.035763
