#: table_doi: 10.17182/hepdata.66784.v1/t28
#: name: Table 28
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for $\Lambda/\bar{\Lambda}$ as a function of $p_{T}$ from the correlation in the 150 $\leq N_{offline}^{trk}$ < 185 multiplicity class in pPb.

#: data_file: Table28.yaml
#: keyword reactions: P PB --> $\Lambda/\bar{\Lambda}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,150 $\leq N_{offline}^{trk}$ < 185
#: RE,P PB --> $\Lambda/\bar{\Lambda}$ X
#: SQRT(S)/NUCLEON [GeV],5020.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.885,0.0338,0.00505,-0.00505,0.00233,-0.00233
1.21,0.0512,0.00222,-0.00222,0.00354,-0.00354
1.59,0.0847,0.00187,-0.00187,0.00585,-0.00585
1.99,0.112,0.00192,-0.00192,0.00774,-0.00774
2.47,0.143,0.00187,-0.00187,0.00989,-0.00989
3.14,0.169,0.00232,-0.00232,0.0117,-0.0117
4.0,0.192,0.00363,-0.00363,0.0133,-0.0133
5.15,0.21,0.00677,-0.00677,0.0145,-0.0145

