#: table_doi: 10.17182/hepdata.66784.v1/t21
#: name: Table 21
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for all charged particles as a function of $p_{T}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 220 multiplicity class in pPb.

#: data_file: Table21.yaml
#: keyword reactions: P PB --> CHARGED X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 220
#: RE,P PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],5020.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.399,0.0358,5.82e-05,-5.82e-05,0.0014,-0.0014
0.716,0.0612,5.03e-05,-5.03e-05,0.00238,-0.00238
1.22,0.0946,7.78e-05,-7.78e-05,0.00369,-0.00369
1.72,0.12,0.000115,-0.000115,0.0047,-0.0047
2.22,0.139,0.000174,-0.000174,0.00543,-0.00543
2.72,0.151,0.000263,-0.000263,0.00587,-0.00587
3.39,0.157,0.000306,-0.000306,0.00614,-0.00614
4.41,0.156,0.000521,-0.000521,0.00608,-0.00608
5.42,0.149,0.000837,-0.000837,0.00582,-0.00582

