#: table_doi: 10.17182/hepdata.66784.v1/t43
#: name: Table 43
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for $K^{0}_{S}$ as a function of $p_{T}$ from the correlation in the 120 $\leq N_{offline}^{trk}$ < 150 multiplicity class in PbPb.

#: data_file: Table43.yaml
#: keyword reactions: PB PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,120 $\leq N_{offline}^{trk}$ < 150
#: RE,PB PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.313,0.0156,0.00669,-0.00669,0.00103,-0.00103
0.51,0.0442,0.00412,-0.00412,0.00292,-0.00292
0.7,0.0768,0.00328,-0.00328,0.00507,-0.00507
0.896,0.101,0.00318,-0.00318,0.00669,-0.00669
1.18,0.121,0.00261,-0.00261,0.008,-0.008
1.57,0.146,0.00346,-0.00346,0.00966,-0.00966
1.98,0.157,0.00484,-0.00484,0.0104,-0.0104
2.45,0.168,0.00598,-0.00598,0.0111,-0.0111
3.13,0.14,0.00896,-0.00896,0.00927,-0.00927
4.0,0.153,0.0148,-0.0148,0.0101,-0.0101
5.17,0.0932,0.0251,-0.0251,0.00615,-0.00615

