#: table_doi: 10.17182/hepdata.66784.v1/t20
#: name: Table 20
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for all charged particles as a function of $p_{T}$ from the correlation in the 150 $\leq N_{offline}^{trk}$ < 185 multiplicity class in pPb.

#: data_file: Table20.yaml
#: keyword reactions: P PB --> CHARGED X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,150 $\leq N_{offline}^{trk}$ < 185
#: RE,P PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],5020.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.399,0.0351,6.55e-05,-6.55e-05,0.00137,-0.00137
0.715,0.0606,5.72e-05,-5.72e-05,0.00236,-0.00236
1.21,0.0942,8.92e-05,-8.92e-05,0.00367,-0.00367
1.72,0.12,0.000134,-0.000134,0.00468,-0.00468
2.22,0.139,0.000205,-0.000205,0.00544,-0.00544
2.72,0.151,0.000306,-0.000306,0.00589,-0.00589
3.39,0.159,0.000353,-0.000353,0.0062,-0.0062
4.41,0.159,0.0006,-0.0006,0.0062,-0.0062
5.42,0.155,0.000973,-0.000973,0.00603,-0.00603

