#: table_doi: 10.17182/hepdata.66784.v1/t31
#: name: Table 31
#: description: The elliptic flow per constituent quark v2(2, $|\Delta\eta| > 2$)/$n_{q}$ extracted for $K^{0}_{S}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ from the correlation in the 120 $\leq N_{offline}^{trk}$ < 150 multiplicity class in pPb.

#: data_file: Table31.yaml
#: keyword reactions: P PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 5020.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,120 $\leq N_{offline}^{trk}$ < 150
#: RE,P PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],5020.0
$KE_{T}/n_{q}$ [GEV],"v2(2, $|\Delta\eta| > 2$)/$n_{q}$",stat +,stat -,sys +,sys -
0.0554,0.00966,0.0043,-0.0043,0.000667,-0.000667
0.112,0.0169,0.00145,-0.00145,0.00117,-0.00117
0.183,0.0222,0.000912,-0.000912,0.00153,-0.00153
0.266,0.031,0.000779,-0.000779,0.00214,-0.00214
0.396,0.0424,0.000559,-0.000559,0.00293,-0.00293
0.58,0.0534,0.000652,-0.000652,0.00369,-0.00369
0.773,0.0624,0.000826,-0.000826,0.0043,-0.0043
1.01,0.068,0.00094,-0.00094,0.00469,-0.00469
1.34,0.0718,0.0013,-0.0013,0.00495,-0.00495
1.77,0.0685,0.00204,-0.00204,0.00473,-0.00473
2.36,0.0705,0.00333,-0.00333,0.00486,-0.00486

