#: table_doi: 10.17182/hepdata.66784.v1/t51
#: name: Table 51
#: description: The elliptic flow per constituent quark v2(2, $|\Delta\eta| > 2$)/$n_{q}$ extracted for $K^{0}_{S}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ from the correlation in the 120 $\leq N_{offline}^{trk}$ < 150 multiplicity class in PbPb.

#: data_file: Table51.yaml
#: keyword reactions: PB PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,120 $\leq N_{offline}^{trk}$ < 150
#: RE,PB PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$KE_{T}/n_{q}$ [GEV],"v2(2, $|\Delta\eta| > 2$)/$n_{q}$",stat +,stat -,sys +,sys -
0.0463,0.00778,0.00335,-0.00335,0.000514,-0.000514
0.108,0.0221,0.00206,-0.00206,0.00146,-0.00146
0.181,0.0384,0.00164,-0.00164,0.00253,-0.00253
0.264,0.0507,0.00159,-0.00159,0.00335,-0.00335
0.391,0.0606,0.00131,-0.00131,0.004,-0.004
0.577,0.0732,0.00173,-0.00173,0.00483,-0.00483
0.77,0.0787,0.00242,-0.00242,0.00519,-0.00519
1.0,0.084,0.00299,-0.00299,0.00555,-0.00555
1.33,0.0702,0.00448,-0.00448,0.00464,-0.00464
1.77,0.0765,0.0074,-0.0074,0.00505,-0.00505
2.35,0.0466,0.0126,-0.0126,0.00308,-0.00308

