#: table_doi: 10.17182/hepdata.66784.v1/t55
#: name: Table 55
#: description: The elliptic flow per constituent quark v2(2, $|\Delta\eta| > 2$)/$n_{q}$ extracted for $\Lambda/\bar{\Lambda}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ from the correlation in the 120 $\leq N_{offline}^{trk}$ < 150 multiplicity class in PbPb.

#: data_file: Table55.yaml
#: keyword reactions: PB PB --> $\Lambda/\bar{\Lambda}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,120 $\leq N_{offline}^{trk}$ < 150
#: RE,PB PB --> $\Lambda/\bar{\Lambda}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$KE_{T}/n_{q}$ [GEV],"v2(2, $|\Delta\eta| > 2$)/$n_{q}$",stat +,stat -,sys +,sys -
0.0954,0.0272,0.00238,-0.00238,0.00179,-0.00179
0.171,0.0318,0.00184,-0.00184,0.0021,-0.0021
0.272,0.0547,0.00189,-0.00189,0.00361,-0.00361
0.386,0.0635,0.00237,-0.00237,0.00419,-0.00419
0.526,0.0599,0.00254,-0.00254,0.00395,-0.00395
0.733,0.0735,0.00374,-0.00374,0.00485,-0.00485
1.01,0.0701,0.00722,-0.00722,0.00463,-0.00463
1.39,0.0454,0.0131,-0.0131,0.00299,-0.00299

