#: table_doi: 10.17182/hepdata.66784.v1/t42
#: name: Table 42
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for all charged particles as a function of $p_{T}$ from the correlation in the 220 $\leq N_{offline}^{trk}$ < 260 multiplicity class in PbPb.

#: data_file: Table42.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,220 $\leq N_{offline}^{trk}$ < 260
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.395,0.0525,0.000135,-0.000135,0.00158,-0.00158
0.704,0.0982,0.000135,-0.000135,0.00295,-0.00295
1.21,0.151,0.00023,-0.00023,0.00454,-0.00454
1.71,0.181,0.000374,-0.000374,0.00543,-0.00543
2.21,0.195,0.000642,-0.000642,0.00586,-0.00586
2.71,0.197,0.00102,-0.00102,0.0059,-0.0059
3.38,0.187,0.00124,-0.00124,0.0056,-0.0056
4.4,0.173,0.00227,-0.00227,0.0052,-0.0052
5.42,0.153,0.00384,-0.00384,0.00459,-0.00459

