#: table_doi: 10.17182/hepdata.66784.v1/t54
#: name: Table 54
#: description: The elliptic flow per constituent quark v2(2, $|\Delta\eta| > 2$)/$n_{q}$ extracted for $K^{0}_{S}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ from the correlation in the 220 $\leq N_{offline}^{trk}$ < 260 multiplicity class in PbPb.

#: data_file: Table54.yaml
#: keyword reactions: PB PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,220 $\leq N_{offline}^{trk}$ < 260
#: RE,PB PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$KE_{T}/n_{q}$ [GEV],"v2(2, $|\Delta\eta| > 2$)/$n_{q}$",stat +,stat -,sys +,sys -
0.0468,0.00882,0.00211,-0.00211,0.000582,-0.000582
0.109,0.0203,0.00124,-0.00124,0.00134,-0.00134
0.181,0.0403,0.000951,-0.000951,0.00266,-0.00266
0.264,0.0517,0.000915,-0.000915,0.00341,-0.00341
0.391,0.0677,0.000742,-0.000742,0.00447,-0.00447
0.577,0.0818,0.00097,-0.00097,0.0054,-0.0054
0.77,0.0875,0.00135,-0.00135,0.00578,-0.00578
1.0,0.0882,0.00168,-0.00168,0.00582,-0.00582
1.33,0.085,0.00257,-0.00257,0.00561,-0.00561
1.77,0.0687,0.00434,-0.00434,0.00454,-0.00454
2.35,0.0832,0.00746,-0.00746,0.00549,-0.00549

