#: table_doi: 10.17182/hepdata.66784.v1/t40
#: name: Table 40
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for all charged particles as a function of $p_{T}$ from the correlation in the 150 $\leq N_{offline}^{trk}$ < 185 multiplicity class in PbPb.

#: data_file: Table40.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,150 $\leq N_{offline}^{trk}$ < 185
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.395,0.0493,0.000191,-0.000191,0.00148,-0.00148
0.703,0.0933,0.000193,-0.000193,0.0028,-0.0028
1.2,0.144,0.000333,-0.000333,0.00431,-0.00431
1.71,0.171,0.000556,-0.000556,0.00513,-0.00513
2.21,0.183,0.00095,-0.00095,0.00549,-0.00549
2.71,0.184,0.00144,-0.00144,0.00552,-0.00552
3.38,0.176,0.00173,-0.00173,0.00527,-0.00527
4.4,0.158,0.00321,-0.00321,0.00474,-0.00474
5.42,0.143,0.0055,-0.0055,0.00428,-0.00428

