#: table_doi: 10.17182/hepdata.66784.v1/t16
#: name: Table 16
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for $\Lambda/\bar{\Lambda}$ as a function of $p_{T}$ from the correlation in the $N_{offline}^{trk}$ < 35 multiplicity class in PbPb.

#: data_file: Table16.yaml
#: keyword reactions: PB PB --> $\Lambda/\bar{\Lambda}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,$N_{offline}^{trk}$ < 35
#: RE,PB PB --> $\Lambda/\bar{\Lambda}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.87,0.0532,0.0233,-0.0233,0.00351,-0.00351
1.44,0.0783,0.0253,-0.0253,0.00517,-0.00517
2.11,0.139,0.034,-0.034,0.0092,-0.0092
2.97,0.261,0.062,-0.062,0.0172,-0.0172
3.98,0.338,0.142,-0.142,0.0223,-0.0223
5.13,0.407,0.288,-0.288,0.0269,-0.0269

