#: table_doi: 10.17182/hepdata.66784.v1/t61
#: name: Table 61
#: description: The triangular flow v3(2, $|\Delta\eta| > 2$) extracted for $\Lambda/\bar{\Lambda}$ as a function of $p_{T}$ from the correlation in the 185 $\leq N_{offline}^{trk}$ < 350 multiplicity class in PbPb.

#: data_file: Table61.yaml
#: keyword reactions: PB PB --> $\Lambda/\bar{\Lambda}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,185 $\leq N_{offline}^{trk}$ < 350
#: RE,PB PB --> $\Lambda/\bar{\Lambda}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$p_{T}$ [GEV],"v3(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
1.19,0.0189,0.0123,-0.0123,0.00125,-0.00125
1.58,0.0561,0.0122,-0.0122,0.0037,-0.0037
1.98,0.0659,0.0141,-0.0141,0.00435,-0.00435
2.45,0.0675,0.0156,-0.0156,0.00445,-0.00445
3.11,0.102,0.0227,-0.0227,0.00671,-0.00671
3.98,0.0553,0.0406,-0.0406,0.00365,-0.00365
5.16,0.0891,0.0733,-0.0733,0.00588,-0.00588

