#: table_doi: 10.17182/hepdata.66784.v1/t46
#: name: Table 46
#: description: The elliptic flow v2(2, $|\Delta\eta| > 2$) extracted for $K^{0}_{S}$ as a function of $p_{T}$ from the correlation in the 220 $\leq N_{offline}^{trk}$ < 260 multiplicity class in PbPb.

#: data_file: Table46.yaml
#: keyword reactions: PB PB --> $K^{0}_{S}$ X
#: keyword observables: CORR
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: $|\Delta\eta|$,> 2
#: Muliplicity Class,220 $\leq N_{offline}^{trk}$ < 260
#: RE,PB PB --> $K^{0}_{S}$ X
#: SQRT(S)/NUCLEON [GeV],2760.0
$p_{T}$ [GEV],"v2(2, $|\Delta\eta| > 2$)",stat +,stat -,sys +,sys -
0.315,0.0176,0.00423,-0.00423,0.00116,-0.00116
0.511,0.0407,0.00247,-0.00247,0.00268,-0.00268
0.701,0.0805,0.0019,-0.0019,0.00531,-0.00531
0.897,0.103,0.00183,-0.00183,0.00683,-0.00683
1.18,0.135,0.00148,-0.00148,0.00893,-0.00893
1.57,0.164,0.00194,-0.00194,0.0108,-0.0108
1.98,0.175,0.00269,-0.00269,0.0116,-0.0116
2.45,0.176,0.00335,-0.00335,0.0116,-0.0116
3.12,0.17,0.00513,-0.00513,0.0112,-0.0112
4.0,0.137,0.00867,-0.00867,0.00907,-0.00907
5.18,0.166,0.0149,-0.0149,0.011,-0.011

