Phi_2.76,Data_2.76,Phi_130,Data_130
-0.963629957682546,0.545565990787121,-0.960337311656173,0.496424123333801
-0.789444089709307,0.541779011438202,-0.785430225317401,0.493277043580474
-0.615258470622579,0.538003007984343,-0.61066958860011,0.490532446240141
-0.441129286551839,0.536715788735662,-0.436022436533594,0.488593040106799
-0.266990862569441,0.535021089382826,-0.261391597991259,0.487373060389948
-0.088924076145419,0.534581283587731,-0.089044652834609,0.486872778981655
0.089133221480437,0.534559933791852,0.087826576362248,0.486851571400217
0.263224201471993,0.534957514435099,0.262422068935514,0.487190348919093
0.437286715069045,0.536610463075995,0.436995810143206,0.488488361659956
0.611358468577756,0.537855931612737,0.611555956747411,0.490385896414559
0.785373787070475,0.541590184354655,0.783559542562956,0.493088915310944
0.959388856676688,0.545335412991635,0.9583248549253,0.496194067918143
