phi,point,error+,error-
-1.13708936820858,5.13409597685343,5.14082691193083,5.12709047146225
-0.960547027352921,5.13726744267354,5.14413574060175,5.13067387044694
-0.78635104288549,5.13672995613401,5.14332337297277,5.12958724327986
-0.609709253812052,5.14429703317997,5.1511650203325,5.13729152778878
-0.437763285271874,5.14430884265583,5.15131434804701,5.13757806296626
-0.261472672717469,5.13635391756054,5.1430846972501,5.12934841216935
-0.087084007328091,5.14433292777107,5.15120107031144,5.1374647852307
0.08712751592337,5.14448225548558,5.15135039802595,5.13733954263143
0.263411912964163,5.13625260468867,5.14325795469201,5.12938430676046
0.435544346912677,5.14450618521298,5.1513744831412,5.13791292376206
0.612008993848195,5.14424357976291,5.15124892976625,5.13737543722254
0.786049590475348,5.13683795068301,5.14356873037257,5.12996980814263
0.962532883951699,5.13739952233778,5.14426750949031,5.13066858726037
1.13440737408535,5.13425198624507,5.14125749163625,5.12724648085389
