phi,dN/dphi
0.305,0.021417
0.31,0.0213272
0.315,0.0212369
0.32,0.0211462
0.325,0.0210552
0.33,0.0209638
0.335,0.0208721
0.34,0.0207801
0.345,0.0206877
0.35,0.0205951
0.355,0.0205023
0.36,0.0204092
0.365,0.0203158
0.37,0.0202223
0.375,0.0201286
0.38,0.0200347
0.385,0.0199407
0.39,0.0198465
0.395,0.0197523
0.4,0.0196579
0.405,0.0195634
0.41,0.0194689
0.415,0.0193743
0.42,0.0192796
0.425,0.019185
0.43,0.0190903
0.435,0.0189956
0.44,0.0189009
0.445,0.0188062
0.45,0.0187116
0.455,0.018617
0.46,0.0185225
0.465,0.018428
0.47,0.0183337
0.475,0.0182394
0.48,0.0181452
0.485,0.0180511
0.49,0.0179572
0.495,0.0178633
0.5,0.0177697
0.505,0.0176761
0.51,0.0175827
0.515,0.0174895
0.52,0.0173965
0.525,0.0173037
0.53,0.017211
0.535,0.0171186
0.54,0.0170263
0.545,0.0169343
0.55,0.0168425
0.555,0.0167509
0.56,0.0166596
0.565,0.0165685
0.57,0.0164776
0.575,0.016387
0.58,0.0162967
0.585,0.0162066
0.59,0.0161168
0.595,0.0160273
0.6,0.0159381
0.605,0.0158492
0.61,0.0157605
0.615,0.0156722
0.62,0.0155841
0.625,0.0154964
0.63,0.015409
0.635,0.0153219
0.64,0.0152351
0.645,0.0151486
0.65,0.0150625
0.655,0.0149767
0.66,0.0148913
0.665,0.0148061
0.67,0.0147214
0.675,0.0146369
0.68,0.0145528
0.685,0.0144691
0.69,0.0143857
0.695,0.0143027
0.7,0.0142201
0.705,0.0141378
0.71,0.0140558
0.715,0.0139743
0.72,0.0138931
0.725,0.0138122
0.73,0.0137318
0.735,0.0136517
0.74,0.013572
0.745,0.0134927
0.75,0.0134137
0.755,0.0133351
0.76,0.013257
0.765,0.0131792
0.77,0.0131017
0.775,0.0130247
0.78,0.0129481
0.785,0.0128718
0.79,0.0127959
0.795,0.0127204
0.8,0.0126453
0.805,0.0125706
0.81,0.0124963
0.815,0.0124224
0.82,0.0123489
0.825,0.0122757
0.83,0.012203
0.835,0.0121306
0.84,0.0120587
0.845,0.0119871
0.85,0.0119159
0.855,0.0118452
0.86,0.0117748
0.865,0.0117048
0.87,0.0116352
0.875,0.0115659
