phi,Ridge,Jet
1.23,0.0384363,0.000314837
1.235,0.0379144,0.000299199
1.24,0.0374005,0.000284292
1.245,0.0368944,0.000270084
1.25,0.0363961,0.000256544
1.255,0.0359053,0.000243645
1.26,0.035422,0.000231356
1.265,0.0349461,0.000219652
1.27,0.0344774,0.000208506
1.275,0.0340158,0.000197893
1.28,0.0335612,0.000187791
1.285,0.0331136,0.000178175
1.29,0.0326727,0.000169025
1.295,0.0322385,0.000160318
1.3,0.0318108,0.000152035
1.305,0.0313896,0.000144157
1.31,0.0309748,0.000136665
1.315,0.0305663,0.000129541
1.32,0.0301639,0.000122768
1.325,0.0297675,0.000116331
1.33,0.0293772,0.000110213
1.335,0.0289927,0.0001044
1.34,0.028614,9.88777e-05
1.345,0.028241,9.36321e-05
1.35,0.0278735,8.86504e-05
1.355,0.0275116,8.392e-05
1.36,0.0271552,7.94291e-05
1.365,0.026804,7.51663e-05
1.37,0.0264581,7.11206e-05
1.375,0.0261174,6.72817e-05
1.38,0.0257817,6.36396e-05
1.385,0.0254511,6.01848e-05
1.39,0.0251254,5.69082e-05
1.395,0.0248045,5.38013e-05
1.4,0.0244884,5.08556e-05
1.405,0.024177,4.80633e-05
1.41,0.0238702,4.54169e-05
1.415,0.023568,4.29092e-05
1.42,0.0232703,4.05333e-05
1.425,0.0229769,3.82827e-05
1.43,0.0226879,3.61511e-05
1.435,0.0224032,3.41326e-05
1.44,0.0221226,3.22215e-05
1.445,0.0218462,3.04124e-05
1.45,0.0215739,2.87002e-05
1.455,0.0213056,2.70799e-05
1.46,0.0210412,2.55468e-05
1.465,0.0207807,2.40966e-05
1.47,0.020524,2.2725e-05
1.475,0.0202711,2.14279e-05
1.48,0.0200219,2.02015e-05
1.485,0.0197763,1.90422e-05
1.49,0.0195343,1.79464e-05
1.495,0.0192958,1.69109e-05
1.5,0.0190608,1.59326e-05
