pt, N_Rdige_dis
3.040000, 0.504604
3.050000, 0.496658
3.060000, 0.488831
3.070000, 0.481123
3.080000, 0.473532
3.090000, 0.466057
3.100000, 0.458695
3.110000, 0.451447
3.120000, 0.444309
3.130000, 0.437281
3.140000, 0.430361
3.150000, 0.423548
3.160000, 0.416841
3.170000, 0.410237
3.180000, 0.403736
3.190000, 0.397336
3.200000, 0.391036
3.210000, 0.384835
3.220000, 0.378730
3.230000, 0.372721
3.240000, 0.366806
3.250000, 0.360984
3.260000, 0.355254
3.270000, 0.349614
3.280000, 0.344063
3.290000, 0.338599
3.300000, 0.333222
3.310000, 0.327930
3.320000, 0.322722
3.330000, 0.317597
3.340000, 0.312553
3.350000, 0.307589
3.360000, 0.302703
3.370000, 0.297896
3.380000, 0.293165
3.390000, 0.288510
3.400000, 0.283929
3.410000, 0.279421
3.420000, 0.274985
3.430000, 0.270619
3.440000, 0.266324
3.450000, 0.262097
3.460000, 0.257938
3.470000, 0.253846
3.480000, 0.249819
3.490000, 0.245856
3.500000, 0.241957
3.510000, 0.238121
3.520000, 0.234346
3.530000, 0.230632
3.540000, 0.226977
3.550000, 0.223381
3.560000, 0.219843
3.570000, 0.216361
3.580000, 0.212936
3.590000, 0.209565
3.600000, 0.206248
3.610000, 0.202985
3.620000, 0.199775
3.630000, 0.196615
3.640000, 0.193507
3.650000, 0.190449
3.660000, 0.187439
3.670000, 0.184478
3.680000, 0.181565
3.690000, 0.178699
3.700000, 0.175878
3.710000, 0.173103
3.720000, 0.170372
3.730000, 0.167686
3.740000, 0.165042
3.750000, 0.162441
3.760000, 0.159882
3.770000, 0.157363
3.780000, 0.154886
3.790000, 0.152448
3.800000, 0.150049
3.810000, 0.147688
3.820000, 0.145366
3.830000, 0.143081
3.840000, 0.140832
3.850000, 0.138619
3.860000, 0.136442
3.870000, 0.134300
3.880000, 0.132192
3.890000, 0.130118
3.900000, 0.128077
3.910000, 0.126069
3.920000, 0.124093
3.930000, 0.122149
3.940000, 0.120235
3.950000, 0.118353
3.960000, 0.116500
3.970000, 0.114677
3.980000, 0.112883
3.990000, 0.111118
4.000000, 0.109381
